flight_id,distance_km,checked_bags,days_before_departure,stops,seat_row,price_thousand_kzt
347,1921,1,26,2,31,56.0
348,818,1,62,0,30,63.6
349,2812,0,23,2,23,100.0
350,1046,0,8,1,12,53.5
351,500,1,13,0,14,54.3
352,3542,0,12,0,7,141.4
353,4012,2,13,0,4,206.8
354,1215,0,19,0,26,70.6
355,2055,1,16,0,19,107.3
356,4500,1,27,0,24,195.2
357,873,0,2,0,19,63.2
358,1363,1,3,1,9,75.3
359,2505,2,32,0,33,128.3
360,500,0,3,0,16,50.6
361,1351,1,15,0,16,88.3
362,3241,2,36,0,9,145.4
363,2952,1,28,1,15,124.3
364,1818,1,24,0,26,98.4
365,2051,1,46,2,25,61.4
366,3099,0,60,1,20,108.7
367,2701,2,9,0,7,141.8
368,3430,1,68,0,11,140.9
369,4044,1,9,1,20,169.8
370,2233,1,41,1,11,91.1
371,4052,2,23,0,8,201.9
372,2967,1,6,1,30,129.8
373,1810,0,85,0,6,77.0
374,2734,0,17,0,25,124.7
375,1527,1,45,0,17,83.4
376,2775,0,29,0,33,117.1
377,2712,0,11,0,22,122.6
378,2329,1,11,0,8,121.4
379,3791,1,17,1,10,151.2
380,1230,2,16,1,26,90.4
381,2911,1,8,0,18,144.0
382,1967,1,72,0,15,89.6
383,2724,0,21,0,10,122.2
384,2921,1,20,0,20,131.4
385,3771,1,13,0,13,178.0
386,2503,1,16,2,9,99.9
387,3389,1,3,1,18,146.9
388,3165,0,7,1,26,116.9
389,3396,0,90,0,14,118.8
390,2974,1,21,1,27,116.7
391,1344,1,77,1,29,47.4
392,3883,0,69,1,5,131.5
393,2766,2,19,0,27,131.2
394,3310,1,26,1,4,131.3
395,1992,0,15,1,20,86.5
396,1984,0,9,0,27,102.0
397,2570,1,41,0,24,125.0
398,1908,2,38,0,10,104.4
399,2590,1,19,0,3,130.3
400,3078,0,2,0,28,131.8
401,2883,1,29,2,1,101.6
402,3362,0,49,1,23,125.3
403,803,1,5,1,21,56.6
404,1302,1,59,2,25,31.9
405,2195,1,49,1,15,86.3
406,3120,0,30,0,19,137.7
407,3372,2,18,0,7,166.8
408,2666,0,26,0,32,121.3
409,4272,1,10,0,3,178.2
410,1296,2,23,1,24,78.8
411,2951,1,14,2,3,126.0
412,1917,1,17,1,16,86.5
413,926,0,8,0,26,57.0
414,1912,1,13,0,14,112.2
415,1502,1,5,0,29,83.0
416,500,0,29,0,29,36.9
417,1741,1,31,1,32,79.0
418,2235,1,51,1,1,91.8
419,1919,1,37,0,11,91.3
420,3645,1,5,1,24,148.4
421,1122,1,22,0,5,74.4
422,3413,0,20,0,25,153.2
423,2278,0,48,0,31,111.1
424,1019,2,25,1,28,57.4
425,1810,0,20,0,6,81.5
426,2387,1,43,0,24,110.7
427,2821,1,16,2,31,104.0
428,758,1,30,1,12,53.7
429,2337,2,14,0,11,131.5
430,2502,2,2,1,33,133.7
431,3428,2,47,0,12,169.9
432,2456,2,18,1,12,129.1
433,1441,0,45,1,27,57.8
434,2910,1,15,1,21,132.5
435,3472,1,66,0,34,158.9
436,2212,2,7,0,1,125.1
437,1206,2,5,1,11,78.9
438,2573,1,17,2,27,97.2
439,2445,1,18,1,10,110.9
440,2778,1,45,0,16,118.2
441,1522,2,10,0,18,103.6
442,1982,2,14,0,5,122.2
443,3744,1,90,2,17,115.2
444,2782,1,33,1,2,125.8
445,1041,1,21,0,19,76.5
446,2308,0,4,1,1,98.1
447,500,0,55,1,2,18.3
448,1817,0,26,1,4,74.0
449,1726,0,14,0,16,82.6
450,1832,1,38,0,27,104.9
451,2835,0,31,0,10,127.3
452,1581,0,18,0,5,73.3
453,603,1,59,0,27,34.0
454,2906,2,9,1,19,135.1
455,4500,0,13,0,32,189.2
456,2397,1,23,1,11,105.2
457,3031,1,20,0,2,133.6
458,2898,1,43,0,29,134.3
459,1004,2,31,2,11,32.7
460,2650,0,21,1,22,102.9
461,2287,0,26,2,20,70.7
462,1821,1,12,1,33,87.3
463,3058,0,9,1,15,113.2
464,2162,1,23,1,23,110.2
465,500,0,71,2,32,-2.3
466,2202,1,23,0,32,117.5
467,500,2,30,0,10,65.3
468,1385,1,29,0,19,87.3
469,1433,2,31,2,14,67.3
470,1481,1,25,0,20,92.7
471,621,0,14,0,34,44.5
472,2847,2,18,2,10,112.6
473,3476,1,43,0,26,145.9
474,2931,1,11,0,11,131.8
475,2922,2,8,2,4,126.5
476,3968,1,29,1,32,168.5
477,1011,1,6,1,30,59.4
478,2908,0,35,1,28,124.0
479,957,1,24,0,32,62.8
480,1802,0,19,1,19,83.6
481,1947,2,3,1,20,102.3
482,2869,1,10,0,12,148.3
483,1802,1,20,1,28,78.6
484,3651,0,11,0,7,175.3
485,1876,2,32,0,15,106.9
486,2324,1,17,0,29,104.3
487,1936,2,37,0,9,118.6
488,1459,0,14,1,21,59.3
489,1701,1,4,0,32,95.7
490,1748,1,17,1,13,81.4
491,2943,1,14,0,6,127.7
492,2571,2,13,1,25,121.8
493,1365,0,24,2,20,53.8
494,2625,1,5,0,1,143.0
495,1912,1,90,0,27,88.0
496,2006,0,53,1,7,75.6
497,2947,1,4,1,14,114.4
498,2021,2,33,0,9,115.6
499,3091,1,34,1,9,136.5
500,1449,1,5,1,3,70.6
501,1567,1,50,1,7,74.1
502,2597,0,10,0,5,125.1
503,1547,2,34,1,16,81.1
504,2758,1,6,0,30,121.9
505,1046,1,20,1,7,67.2
506,2240,1,7,2,26,75.3
507,1842,1,10,0,21,104.8
508,1282,1,59,0,17,68.5
509,2862,0,6,0,9,123.4
510,2502,1,11,1,21,112.9
511,1201,0,16,0,5,74.6
512,1181,0,27,1,1,57.4
513,3230,2,9,1,11,149.4
514,1623,0,48,1,6,70.5
515,1455,1,10,1,9,78.5
516,2701,0,53,0,2,112.0
517,4146,1,3,0,22,188.2
518,1984,1,24,0,27,112.0
519,2837,0,12,0,24,129.8
520,3542,1,66,0,6,160.8
521,1390,0,36,0,22,67.1
522,3306,0,59,1,8,121.6
523,2171,0,53,0,11,95.0
524,1876,2,16,2,32,84.0
525,2514,0,21,0,33,108.8
526,2527,1,4,0,13,140.0
527,2296,2,29,0,4,124.6
528,1360,2,28,1,28,88.4
529,1560,2,22,0,4,87.2
530,913,0,22,1,1,40.9
531,1330,1,90,1,16,47.8
532,1367,0,48,0,19,47.6
533,1507,0,7,1,21,54.3
534,2621,1,19,0,13,128.0
535,1877,1,11,0,5,98.8
536,1917,1,52,1,12,66.7
537,2048,0,27,2,8,68.4
538,1248,1,20,0,30,85.5
539,3054,0,25,0,15,133.7
540,1139,2,18,2,2,61.2
541,3632,1,15,0,17,175.6
542,2556,1,79,1,8,97.8
543,3271,1,31,0,17,137.4
544,3788,1,33,1,27,142.5
545,2671,1,24,0,28,130.7
546,1144,1,33,2,33,37.4
547,1336,1,24,0,7,83.7
548,2392,1,54,0,12,107.8
549,2365,1,12,1,23,105.3
550,500,1,77,1,21,12.2
551,2370,0,25,0,18,105.2
552,592,1,31,0,34,48.2
553,1992,1,3,0,24,104.9
554,1135,0,4,1,29,53.3
555,2673,1,28,0,12,130.6
556,845,1,52,1,16,20.6
557,3725,0,31,1,17,134.7
558,2267,1,34,2,17,90.6
559,4500,1,25,0,22,184.1
560,2544,1,11,0,13,119.2
561,2268,1,51,1,3,103.8
562,1500,1,8,1,32,66.6
563,500,1,14,2,20,23.2
564,2076,1,21,0,18,119.3
565,2551,0,44,1,20,103.4
566,2891,0,26,0,19,122.3
567,912,2,3,0,6,85.1
568,3499,1,12,0,35,159.9
569,2371,1,31,0,35,135.4
570,2552,0,21,2,32,88.1
571,2701,2,10,1,10,128.4
572,2054,2,56,0,30,103.7
573,3072,0,16,0,5,136.8
574,916,0,49,0,16,53.6
575,1691,1,32,1,3,84.8
576,2750,2,14,1,14,141.4
577,2607,1,21,0,19,113.9
578,2293,0,21,1,10,100.2
579,2676,1,34,0,25,122.2
580,3769,0,7,0,22,161.9
581,2063,1,32,0,28,112.6
582,2208,0,16,0,34,105.7
583,2814,1,19,1,25,123.1
584,2912,1,1,0,16,145.6
585,1709,0,24,0,29,83.2
586,2228,2,19,0,8,138.1
587,2917,0,90,0,22,98.5
588,1459,0,56,1,12,51.1
589,3365,1,57,2,15,105.8
590,1578,0,4,0,27,65.7
591,1889,2,46,0,26,110.9
592,3254,1,19,1,20,135.0
593,3475,1,19,1,11,127.8
594,2734,2,13,1,24,142.5
595,1102,1,14,0,14,89.4
596,1312,0,48,1,1,49.8
597,1263,1,9,1,2,82.8
598,2333,0,11,0,33,103.9
599,2787,2,22,0,33,138.7
600,1527,2,35,1,9,81.1
601,2893,2,5,1,18,137.0
602,2602,1,28,1,27,108.8
603,2217,0,43,0,30,86.7
604,2033,1,33,0,32,107.6
605,500,1,29,0,30,44.9
606,1742,0,29,1,23,63.8
607,2776,1,11,0,12,147.2
608,1124,0,37,1,12,45.8
609,500,0,74,0,30,21.6
610,2894,0,16,0,24,144.8
611,1377,0,22,1,3,57.2
612,1973,1,56,0,9,95.7
613,1108,1,48,1,17,53.2
614,2475,0,13,1,34,97.2
615,2658,2,53,1,27,106.5
616,3269,1,33,1,31,131.1
617,1616,2,33,0,19,108.5
618,3821,1,68,0,12,158.3
619,500,0,21,0,33,40.9
620,2612,0,35,0,26,117.3
621,2288,1,11,0,14,120.2
622,999,1,53,0,7,60.0
623,2963,0,30,1,13,102.9
624,1037,1,34,0,33,61.3
625,2504,1,46,0,21,138.5
626,2577,1,24,1,31,118.2
627,2965,1,60,1,9,99.1
628,2852,1,26,0,17,142.3
629,500,0,6,0,8,41.4
630,1242,1,21,0,1,83.9
631,2381,0,51,1,19,94.5
632,500,1,27,0,14,50.1
633,3254,1,26,0,16,143.6
634,2669,0,23,0,23,133.3
635,3270,1,15,0,14,153.4
636,2639,1,49,0,14,119.2
637,3818,0,20,0,20,158.0
638,1610,1,14,0,3,95.8
639,3089,2,35,2,19,130.0
640,3368,0,23,0,34,137.9
641,1156,0,8,1,12,55.6
642,4142,1,29,0,12,168.4
643,3031,0,52,0,13,127.1
644,2103,0,27,1,35,87.0
645,1825,1,16,0,33,93.3
646,2974,0,49,0,11,117.2
647,2862,1,13,0,32,150.2
648,500,0,7,1,23,33.5
649,2629,2,19,1,34,134.0
650,1850,1,16,1,23,97.9
651,1941,2,12,0,34,117.4
652,500,0,66,1,15,10.5
653,2601,1,52,2,24,98.0
654,2975,0,12,1,34,115.9
655,2756,1,50,0,11,120.2
656,2645,2,58,0,12,132.6
657,1482,2,25,1,29,80.7
658,2670,1,39,2,21,93.8
659,1619,0,24,1,17,60.9
660,2546,2,19,1,35,129.2
661,2651,2,31,0,9,141.6
662,2351,1,19,0,8,116.7
663,3680,1,46,0,3,150.9
664,1290,0,30,1,28,64.2
665,548,0,13,0,22,45.6
666,3068,2,19,0,16,164.2
667,1538,0,16,1,1,56.3
668,1037,2,13,0,28,71.0
669,2705,2,18,0,22,136.8
670,2740,0,23,0,12,127.8
671,742,0,31,0,4,46.7
672,1903,1,12,0,27,116.5
673,3082,2,20,0,6,153.9
674,4220,0,3,2,32,150.9
675,1784,1,43,0,33,99.4
676,3722,1,54,1,4,130.0
677,2797,0,19,1,5,107.4
678,1890,0,90,0,21,71.2
679,558,1,26,1,33,29.6
680,1921,0,14,0,24,88.5
681,2026,1,12,0,32,109.2
682,2803,0,65,0,31,112.4
683,1676,1,40,0,5,96.6
684,2277,0,26,0,4,102.5
685,3345,1,5,2,23,124.5
686,3721,1,24,1,16,157.9
687,500,1,42,1,17,32.8
688,500,1,9,0,35,65.2
689,1535,0,15,1,32,88.0
690,2257,2,8,0,6,124.4
691,3553,0,7,0,19,159.0
692,500,1,37,0,10,49.3
693,1126,2,13,0,3,90.9
694,2373,1,4,0,11,121.5
695,1652,1,15,0,14,75.6
696,2751,1,2,0,13,137.5
697,2514,1,8,0,27,122.8
698,3937,1,90,0,1,154.3
699,1713,2,60,1,18,91.5
700,1894,2,22,0,21,131.9
701,2583,0,54,1,8,99.4
702,1946,0,23,0,10,85.1
703,2660,1,16,1,14,113.4
704,1600,1,45,1,17,80.5
705,3391,1,38,2,6,120.7
706,2710,1,39,2,31,88.1
707,2417,0,9,0,21,125.3
708,2142,0,21,0,22,94.5
709,986,1,20,1,24,37.0
710,2485,1,36,0,25,118.2
711,2222,0,8,0,14,101.7
712,1384,1,16,0,35,84.6
713,2809,1,58,1,4,118.9
714,2240,0,41,0,1,115.9
715,3592,1,20,1,26,144.6
716,2974,0,11,0,32,135.7
717,1410,1,36,0,28,84.8
718,2262,1,20,0,8,117.2
719,3657,1,10,0,3,178.9
720,2333,1,22,0,24,114.3
721,2468,2,28,0,30,114.6
722,3655,0,39,0,26,142.2
723,995,2,9,0,31,89.9
724,1235,1,17,0,32,71.4
725,2699,2,59,0,25,134.3
726,2239,1,12,2,33,92.7
727,3505,1,15,1,18,157.3
728,1246,1,47,0,35,82.9
729,1206,1,60,0,10,78.4
730,698,0,52,0,30,35.5
731,2773,0,51,0,16,102.2
732,4500,0,9,0,25,173.7
733,2904,1,41,1,14,115.1
734,4185,0,54,0,34,162.5
735,2002,0,18,0,21,103.3
736,1312,0,4,1,23,60.5
737,4177,0,33,1,14,135.5
738,2373,0,45,1,21,82.7
739,2386,1,25,1,26,105.3
740,2880,1,3,0,8,130.3
741,3020,1,17,1,6,122.2
742,2237,2,50,0,18,124.4
743,2792,0,4,0,6,130.8
744,1948,0,7,1,21,87.1
745,1061,2,32,0,25,91.7
746,2673,2,9,1,27,122.0
747,1545,1,11,1,19,78.2
748,2699,0,49,0,27,111.3
749,944,0,39,0,28,60.2
750,1356,1,28,0,28,77.6
751,1090,0,67,0,21,59.7
752,3013,0,32,0,27,122.0
753,2631,2,19,0,23,139.3
754,1476,1,58,0,13,86.7
755,2064,1,65,0,32,89.8
756,2185,1,11,1,10,95.8
757,4047,1,18,0,24,188.0
758,1696,1,34,1,11,82.8
759,1086,0,7,1,1,52.0
760,2622,0,4,1,31,100.4
761,500,1,23,2,32,27.0
762,2433,1,8,1,16,97.8
763,2069,1,3,0,26,121.0
764,500,0,4,1,6,27.8
765,983,1,32,0,2,69.1
766,3128,0,50,0,26,124.6
767,3088,2,31,1,8,149.2
768,2926,2,40,0,33,150.1
769,1197,0,10,1,18,48.0
770,2057,0,16,0,9,90.5
771,881,1,29,0,28,64.5
772,3087,2,13,0,23,151.2
773,921,1,41,0,31,79.5
774,2287,2,36,1,6,104.0
775,2857,1,28,0,20,133.1
776,3461,0,27,0,9,135.3
777,2561,2,11,1,33,123.0
778,3264,1,5,0,29,162.0
779,3120,1,8,1,35,141.4
780,1662,0,22,0,11,83.8
781,1150,2,7,1,11,73.7
782,1186,1,57,0,6,80.6
783,2320,0,44,1,5,89.9
784,500,1,33,0,17,58.7
785,4500,0,55,2,34,141.5
786,2825,1,36,1,17,117.6
787,2652,1,42,1,21,114.7
788,1957,2,35,0,33,106.2
789,2329,1,40,0,8,110.8
790,3071,1,28,1,32,128.2
791,2084,0,43,1,16,87.5
792,1325,0,53,1,19,37.7
793,3571,0,90,0,17,136.8
794,1797,0,65,0,28,76.5
795,2869,1,16,1,12,125.4
796,2225,1,19,0,24,111.9
797,1634,2,35,1,10,96.2
798,500,1,60,0,10,51.2
799,3373,2,25,1,10,155.9
800,1114,1,59,0,11,72.0
801,2591,0,21,0,35,127.1
802,1554,1,63,1,8,72.8
803,3229,1,21,0,30,161.1
804,2474,1,9,0,31,118.9
805,959,2,24,0,29,79.3
806,1941,1,29,2,11,69.9
807,3923,2,9,0,2,185.7
808,2655,1,13,0,9,127.5
809,3667,1,13,0,33,162.4
810,2524,0,24,2,2,64.4
811,3963,1,13,0,16,192.9
812,1300,0,14,0,1,64.4
813,3032,0,27,0,22,126.5
814,2369,1,5,0,1,127.3
815,2058,0,16,0,18,94.8
816,1148,1,29,1,4,66.0
817,500,1,35,1,4,18.1
818,2545,0,16,1,22,101.1
819,2488,1,41,1,17,97.0
820,778,1,42,0,19,59.3
821,1767,1,36,0,33,90.7
822,2226,0,66,0,31,96.6
823,2615,0,13,1,19,108.4
