car_id,engine_power_hp,car_age_years,mileage_thousand_km,previous_owners,photos_in_listing,price_million_kzt
276,284,14,242.2,2,21,13.0
277,129,10,196.0,2,24,7.6
278,187,12,246.1,3,13,10.3
279,70,10,152.7,4,20,4.4
280,110,3,148.6,3,10,7.9
281,198,0,23.6,3,5,14.2
282,206,8,149.2,3,10,11.0
283,70,9,199.1,2,14,5.7
284,269,10,172.5,4,16,14.6
285,174,4,95.4,3,20,12.0
286,106,12,220.8,3,22,4.7
287,177,13,236.3,3,5,8.2
288,113,7,146.7,1,11,7.8
289,70,15,236.3,4,18,2.0
290,161,1,27.3,2,29,12.5
291,197,7,145.6,2,27,11.7
292,211,1,32.0,1,5,13.9
293,70,10,167.7,3,21,4.8
294,95,7,113.6,2,22,7.1
295,139,6,100.6,2,30,9.4
296,210,14,273.5,3,12,9.6
297,225,8,163.2,2,19,13.1
298,127,14,225.7,2,5,6.5
299,80,15,241.2,2,14,3.4
300,182,8,127.0,3,17,11.3
301,122,7,165.2,1,28,8.2
302,174,9,218.3,4,30,9.4
303,211,11,177.5,2,25,11.6
304,185,13,199.7,3,26,9.3
305,92,6,112.9,3,30,6.4
306,79,9,193.1,3,20,5.0
307,70,5,92.6,2,24,5.6
308,193,9,133.1,3,14,11.3
309,215,4,100.2,2,19,13.5
310,90,1,95.1,2,13,8.1
311,119,2,97.1,1,26,9.9
312,95,8,136.9,1,10,7.1
313,141,1,91.5,2,29,10.6
314,99,13,246.8,3,7,4.2
315,99,11,233.4,3,25,6.2
316,221,8,119.4,3,29,12.3
317,201,13,238.5,4,19,8.8
318,150,3,82.1,3,15,10.6
319,214,3,72.9,1,22,14.0
320,113,1,26.9,1,11,9.3
321,175,5,116.6,3,18,10.7
322,93,13,211.5,4,19,3.6
323,104,10,250.9,4,18,5.0
324,203,3,115.0,3,9,12.9
325,78,1,22.3,2,20,8.9
326,123,14,249.2,4,14,6.1
327,79,10,211.3,3,14,5.4
328,74,1,53.2,2,23,7.5
329,146,6,96.8,3,27,9.7
330,149,5,103.2,3,14,10.1
331,70,15,265.5,3,21,2.5
332,270,14,201.5,4,6,13.1
333,233,10,151.6,3,25,13.3
334,92,10,165.7,4,24,5.4
335,168,4,117.2,3,26,10.0
336,153,0,13.3,3,15,11.8
337,107,2,41.1,1,22,8.7
338,70,2,50.0,3,9,7.6
339,144,4,59.2,2,26,11.5
340,133,11,185.9,3,28,7.4
341,213,9,146.9,3,27,12.2
342,153,13,209.1,2,22,7.7
343,85,14,277.1,3,15,3.6
344,104,9,163.4,4,9,6.1
345,142,0,208.4,1,21,10.4
346,200,2,84.7,3,16,12.9
347,76,10,154.9,4,9,4.5
348,159,1,28.9,3,30,11.2
349,219,1,72.1,1,6,15.2
350,70,15,228.6,2,29,3.4
351,226,2,56.3,2,25,15.6
352,113,12,169.2,4,25,5.6
353,141,9,149.6,2,10,9.0
354,114,13,200.3,3,28,6.0
355,166,0,25.9,2,10,12.4
356,174,10,248.1,4,23,9.9
357,176,15,226.7,2,4,9.6
358,306,4,67.0,3,5,18.0
359,70,7,173.5,3,17,6.0
360,116,1,28.5,3,26,8.7
361,70,14,226.3,3,16,3.1
362,133,12,210.2,2,16,6.7
363,105,13,272.0,4,10,4.6
364,131,8,204.9,2,30,8.3
365,144,3,81.6,1,8,10.6
366,112,0,47.6,3,22,9.4
367,199,7,206.8,2,21,12.7
368,70,12,217.1,3,18,3.8
369,116,9,190.4,4,13,6.3
370,148,8,148.8,2,21,9.7
371,225,13,228.7,2,12,11.5
372,70,10,222.3,4,15,3.9
373,76,8,131.4,2,30,5.1
374,177,0,100.7,2,30,12.3
375,151,2,62.0,2,15,11.3
376,70,10,204.6,2,14,3.9
377,213,14,241.1,4,23,10.3
378,162,6,149.5,2,19,10.2
379,128,11,164.7,3,26,6.7
380,128,7,140.0,1,24,8.6
381,153,10,159.3,3,13,8.2
382,127,9,161.8,4,25,7.9
383,166,5,145.7,3,10,9.9
384,167,9,173.7,3,24,10.0
385,85,1,61.6,3,11,7.9
386,70,12,256.7,3,7,4.0
387,238,1,25.4,3,7,15.9
388,118,13,218.5,2,5,6.4
389,246,5,174.4,1,4,15.4
390,157,2,87.6,2,21,11.3
391,70,9,144.9,2,20,5.0
392,164,15,246.7,4,22,7.6
393,99,15,252.0,4,29,4.5
394,70,14,253.8,2,25,2.6
395,147,3,80.2,1,5,11.2
396,85,2,97.0,2,16,7.9
397,136,3,155.4,2,23,9.6
398,212,10,179.2,4,8,10.9
399,192,6,108.5,2,4,12.8
400,150,6,135.5,1,29,10.2
401,152,8,129.9,1,20,10.4
402,152,14,231.5,4,29,8.1
403,109,9,151.5,4,30,5.4
404,90,8,170.6,2,17,5.3
405,121,4,82.6,3,21,9.5
406,154,8,245.4,2,11,8.2
407,100,4,93.4,3,23,6.8
408,132,10,269.7,3,16,7.6
409,146,14,268.9,4,29,7.0
410,92,0,23.7,3,27,8.7
411,204,1,86.6,1,8,14.2
412,217,5,79.5,2,9,13.6
413,155,9,188.1,3,15,9.3
414,91,2,41.1,1,11,8.4
415,70,3,86.4,1,10,7.0
416,70,1,47.0,3,27,7.6
417,210,5,87.7,1,25,14.0
418,156,2,43.0,1,21,10.8
419,111,7,160.8,2,23,6.7
420,70,15,243.9,3,23,2.6
421,134,0,13.6,1,12,11.5
422,197,8,159.0,1,22,12.1
423,162,15,281.2,3,27,8.1
424,86,9,199.9,2,28,5.8
425,315,9,152.8,4,12,17.4
426,174,10,188.8,4,18,10.0
427,73,14,226.2,2,25,4.2
428,166,0,75.1,3,16,11.8
429,167,0,52.2,2,22,12.8
430,186,12,198.6,2,9,9.5
431,166,0,39.5,2,25,12.4
432,75,13,264.8,4,16,3.9
433,167,0,19.9,3,19,11.9
434,100,6,123.0,1,6,7.3
435,153,3,64.2,1,30,12.2
436,143,12,259.6,4,7,7.5
437,183,12,182.2,2,27,10.3
438,159,4,215.4,3,14,11.1
439,127,7,275.9,2,7,7.9
440,295,5,111.8,1,7,17.6
441,127,9,230.4,2,5,7.7
442,126,5,105.8,1,4,9.8
443,172,15,242.6,3,8,8.1
444,174,5,179.2,2,14,10.9
445,202,0,26.4,2,12,15.1
446,70,12,191.4,4,11,4.2
447,115,7,109.0,1,14,8.8
448,209,13,229.7,4,16,10.4
449,162,12,207.7,4,21,8.2
450,163,10,187.4,3,15,10.1
451,70,3,122.7,2,26,6.2
452,70,5,74.9,1,27,7.6
453,99,12,320.0,2,20,5.8
454,159,15,264.8,4,16,6.4
455,190,3,111.1,2,15,13.6
456,196,3,75.9,3,18,12.9
457,70,6,148.5,2,19,5.9
458,142,14,263.3,2,10,6.6
459,150,3,53.2,3,9,10.5
460,122,13,247.6,4,30,6.2
461,123,4,92.3,1,27,9.0
462,85,11,224.3,4,10,4.2
463,125,10,194.7,2,30,7.7
464,70,15,228.5,3,30,3.1
465,217,12,182.9,3,7,11.2
466,156,0,24.2,3,22,11.9
467,228,14,235.4,4,29,11.1
468,99,14,235.3,2,23,5.8
469,70,6,133.4,3,12,5.6
470,246,8,145.9,3,30,14.1
471,70,11,194.7,4,7,3.3
472,76,13,220.0,3,29,4.4
473,188,10,142.2,2,18,10.9
474,225,2,95.4,2,12,14.3
475,106,13,268.9,4,8,3.7
476,133,13,244.9,4,9,6.6
477,130,12,260.3,4,21,6.3
478,175,13,297.4,3,15,8.8
479,95,6,139.9,2,9,6.9
480,179,4,89.8,3,15,11.8
481,196,6,108.0,1,20,13.1
482,140,3,143.9,3,24,9.4
483,151,3,105.8,3,20,11.3
484,275,12,223.3,3,8,13.8
485,163,1,53.3,1,15,13.2
486,123,11,308.9,2,27,6.5
487,207,10,231.3,4,18,10.8
488,214,0,27.8,2,5,14.6
489,107,5,107.2,2,6,6.9
490,92,10,163.5,3,19,5.1
491,228,15,254.2,4,14,10.6
492,215,6,114.4,1,25,13.3
493,221,9,174.7,4,14,12.6
494,240,3,76.5,3,28,14.9
495,83,6,133.3,1,28,7.6
496,70,5,134.0,3,15,6.4
497,204,9,165.1,4,11,11.3
498,201,13,233.9,2,6,10.5
499,157,14,240.3,4,8,6.9
500,189,1,32.2,3,16,13.4
501,105,10,158.6,2,26,6.8
502,91,8,120.3,1,29,6.9
503,142,15,286.0,3,22,6.9
504,171,7,121.7,1,18,10.6
505,182,2,125.6,3,15,12.6
506,142,7,153.2,1,18,10.3
507,181,12,227.7,4,7,8.4
508,216,0,22.8,2,14,15.2
509,175,0,33.9,1,9,13.2
510,121,0,15.8,1,14,10.5
511,242,4,112.1,3,21,15.7
512,83,2,62.8,3,21,7.2
513,159,2,141.0,3,29,10.1
514,254,15,320.0,4,28,12.1
515,285,1,78.7,2,21,18.4
516,238,12,230.4,3,13,11.9
517,124,11,178.3,3,30,6.7
518,70,4,100.2,3,29,6.0
519,122,8,156.2,2,10,7.4
520,146,4,90.3,1,23,11.1
521,155,1,44.2,3,29,11.0
522,92,8,140.8,2,27,6.7
523,120,12,214.4,4,10,5.5
524,161,13,231.5,2,18,8.2
525,153,12,218.4,2,17,8.0
526,221,7,112.8,2,13,13.7
527,181,12,218.1,3,9,10.4
528,183,2,90.6,3,20,12.6
529,120,11,190.0,2,10,6.9
530,154,14,320.0,4,30,6.5
531,70,6,87.6,2,4,5.8
532,127,4,114.7,1,8,8.9
533,70,4,75.6,1,11,6.8
534,158,12,204.6,3,29,8.3
535,180,13,200.9,4,14,9.8
536,157,15,250.2,3,5,7.8
537,234,9,147.7,3,7,13.9
538,112,12,194.9,2,22,5.3
539,144,15,308.1,2,26,6.4
540,119,12,201.0,3,26,6.6
541,132,0,11.7,2,27,11.1
542,223,8,128.2,1,29,14.6
543,73,13,233.0,4,12,3.7
544,241,9,145.3,3,16,13.6
545,225,13,187.0,4,27,10.8
546,182,8,191.7,2,11,10.8
547,131,14,253.9,2,18,6.4
548,163,0,40.5,3,24,11.9
549,128,4,90.1,3,20,9.5
550,231,1,28.0,1,24,15.8
551,88,10,165.6,3,25,4.3
552,96,10,205.3,2,21,6.3
553,152,14,285.4,4,12,6.5
554,70,2,77.4,2,4,7.4
555,231,10,206.4,3,8,12.5
556,132,7,131.3,2,10,9.0
557,192,3,98.6,3,10,12.3
558,160,15,303.1,4,8,6.7
559,70,3,68.9,2,21,6.6
560,152,15,320.0,3,11,7.0
561,173,9,169.2,2,25,10.8
562,84,14,259.8,3,15,3.4
563,94,2,56.0,3,6,7.2
564,91,9,144.8,2,14,6.3
565,193,9,180.2,2,20,11.3
566,80,5,140.4,2,4,6.5
567,99,4,83.5,1,24,8.7
568,145,8,148.7,3,21,8.8
569,156,15,261.9,4,27,7.2
570,116,9,182.3,4,5,6.9
571,236,2,165.1,3,27,14.3
572,239,6,168.8,1,4,14.3
573,79,0,7.0,1,7,8.7
574,249,2,95.2,3,10,15.2
575,175,5,86.9,1,10,12.7
576,186,1,58.6,1,18,13.5
577,193,15,236.3,2,16,9.4
578,73,1,68.2,1,29,7.4
579,79,5,88.6,2,8,7.5
580,176,10,163.2,2,19,10.7
581,109,7,221.2,3,23,6.5
582,302,11,186.2,4,7,15.0
583,125,7,111.8,2,17,8.9
584,201,0,54.3,3,26,14.6
585,95,6,172.6,2,22,6.7
586,269,7,104.5,3,14,15.8
587,253,6,126.6,1,14,15.6
588,70,4,71.8,3,15,6.5
589,169,10,223.6,2,20,10.2
590,155,12,203.3,3,8,8.6
591,235,3,96.0,1,22,14.8
592,70,5,128.1,2,13,6.2
593,131,7,196.1,1,29,8.0
594,198,13,227.5,2,28,9.8
595,128,9,203.6,2,15,7.4
596,111,3,64.8,1,8,9.1
597,70,9,173.8,4,7,4.2
598,166,2,79.0,3,12,11.6
599,134,15,234.3,3,29,6.6
600,70,13,266.8,4,10,3.2
601,152,7,138.1,1,16,9.8
602,105,6,148.7,1,28,7.9
603,160,11,180.8,4,8,8.8
604,185,11,181.9,2,8,11.2
605,206,4,113.5,3,30,13.0
606,165,11,173.8,2,9,9.8
607,88,6,171.4,1,16,6.9
608,133,12,194.8,4,23,5.5
609,124,1,56.4,3,21,8.8
610,202,10,158.3,4,9,11.3
611,105,8,237.3,2,18,7.0
612,230,14,279.3,4,5,10.5
613,143,13,187.2,3,6,6.8
614,182,2,89.4,2,12,12.9
615,120,13,276.6,3,6,6.2
616,214,6,141.1,3,19,11.5
617,112,6,146.4,2,27,7.3
618,237,0,12.9,1,21,16.5
619,169,8,131.3,2,25,10.9
620,189,2,54.0,3,14,12.7
621,177,14,248.8,3,18,8.7
622,101,2,88.7,2,29,9.2
623,224,10,301.9,3,18,11.6
624,70,2,61.1,3,19,7.3
625,151,15,289.9,3,7,7.0
626,190,4,91.9,3,16,12.9
627,203,7,140.7,2,25,12.3
628,110,14,233.3,4,4,5.2
629,118,5,155.0,2,27,8.7
630,133,13,247.4,3,19,6.9
631,89,2,41.4,3,19,8.2
632,131,7,178.6,2,8,8.8
633,95,6,150.9,3,18,6.8
634,172,13,240.5,2,9,8.9
635,134,10,217.0,3,14,8.2
636,99,13,198.6,2,29,5.6
637,103,10,152.7,4,14,6.2
638,152,3,70.6,2,10,10.4
639,99,15,264.9,4,15,4.0
640,70,6,154.6,1,23,5.5
641,83,0,25.1,3,10,8.3
642,157,9,159.3,4,17,8.7
643,70,11,233.3,3,30,3.6
644,149,12,199.9,3,28,8.5
645,190,3,67.9,1,9,13.3
646,109,4,75.6,1,25,8.8
647,126,9,215.0,4,19,8.2
648,70,2,40.5,2,20,7.5
649,88,1,51.7,1,9,7.5
650,111,3,91.8,1,28,9.8
651,162,1,26.4,2,7,12.4
652,121,15,266.3,2,9,7.1
653,80,4,161.7,3,7,7.2
654,112,5,121.0,2,27,7.9
655,75,0,8.8,2,10,8.4
656,239,0,8.6,3,29,15.3
657,108,14,288.0,3,8,5.0
658,228,10,168.4,4,16,11.6
659,70,12,195.1,4,21,3.8
660,89,5,77.9,3,4,7.2
661,223,10,185.9,4,21,12.4
662,128,11,219.4,2,8,7.1
663,262,6,105.4,1,10,16.8
664,189,10,162.3,3,19,9.7
665,221,0,34.7,2,15,14.8
666,70,2,68.8,3,14,6.8
667,155,9,246.5,2,16,8.9
668,125,1,52.4,3,29,9.1
669,234,6,97.6,3,21,14.8
670,120,0,60.8,2,17,10.1
671,145,3,135.4,1,20,10.2
672,99,2,41.1,1,22,8.8
673,70,13,206.1,2,18,4.2
674,177,3,99.0,2,27,12.1
675,123,2,61.4,2,23,9.3
676,162,1,97.3,3,11,11.5
677,88,11,189.8,3,7,5.7
678,139,9,168.7,4,20,7.5
679,94,10,185.0,2,9,6.1
680,113,3,97.8,2,4,8.7
681,150,4,75.2,3,12,10.4
682,111,4,95.9,1,11,9.3
683,172,9,154.8,2,9,9.6
684,77,7,203.3,1,26,5.4
685,118,0,9.3,2,26,10.1
686,214,4,130.6,3,19,13.8
687,100,1,123.1,1,7,9.5
688,70,12,214.2,4,21,3.7
689,210,3,65.8,2,8,14.0
690,133,2,80.5,2,24,10.0
691,83,9,134.2,4,4,4.9
692,76,15,221.0,2,10,4.3
693,172,15,241.8,3,23,8.6
694,77,14,228.7,3,25,3.9
695,70,12,203.1,2,13,4.2
696,175,6,129.7,3,23,11.1
697,153,4,92.9,1,20,10.7
698,173,3,60.7,2,14,12.2
699,110,4,189.5,1,28,7.7
700,162,0,125.9,1,11,12.2
701,86,4,84.3,3,22,7.6
702,120,6,223.8,2,12,7.2
703,151,0,76.3,1,30,11.4
704,155,1,43.7,1,20,12.6
705,203,11,213.4,3,8,10.6
706,187,9,159.9,4,8,11.1
707,93,3,81.5,2,15,7.4
708,113,4,64.3,1,6,9.2
709,185,1,60.7,1,25,13.3
710,218,12,170.3,3,25,12.3
711,176,3,105.8,1,14,12.4
712,126,4,58.7,2,19,8.0
713,163,0,51.9,3,18,12.1
714,214,11,183.7,2,27,11.5
715,225,13,193.8,3,24,10.7
716,119,11,249.3,3,6,6.4
717,97,2,69.7,1,4,7.8
718,153,2,68.9,2,23,11.9
719,117,13,216.2,3,20,5.3
720,151,0,87.4,1,17,11.6
721,102,0,41.6,3,24,9.6
722,168,2,106.4,1,14,12.2
723,179,14,283.6,4,4,8.9
724,232,8,132.2,1,18,13.9
725,220,13,283.0,3,24,11.1
726,163,13,202.8,2,14,9.6
727,102,8,154.7,2,4,6.3
728,198,10,192.2,4,27,9.7
729,115,2,78.2,3,15,8.8
730,72,0,59.4,2,13,6.9
731,133,0,49.5,1,14,10.4
732,75,9,138.2,4,12,5.2
733,251,10,214.7,4,25,12.9
734,207,4,150.4,2,15,13.2
735,221,11,284.8,2,13,12.0
736,122,10,173.5,4,16,7.3
737,138,1,62.8,2,13,10.8
738,156,15,316.6,2,12,7.8
739,122,4,64.4,3,19,9.2
740,146,13,229.3,3,13,8.4
741,168,0,71.9,2,9,12.0
742,105,12,282.1,2,23,4.9
743,142,0,25.8,1,17,11.3
744,214,9,183.3,4,5,11.1
745,153,10,158.1,2,17,8.8
746,70,6,116.5,2,11,5.2
747,94,2,49.6,2,26,9.0
748,107,14,263.5,3,10,5.7
749,120,15,260.6,2,8,5.4
750,156,3,53.0,1,15,11.6
751,96,6,107.3,3,10,7.2
752,231,4,63.2,3,22,14.4
753,134,14,302.7,4,29,7.5
754,172,10,148.7,4,25,10.0
755,97,5,106.7,2,20,7.8
756,70,1,69.7,2,13,7.3
757,171,4,87.4,3,7,10.7
758,190,4,177.1,2,10,11.8
759,200,13,217.6,4,23,9.7
760,140,1,102.4,3,12,10.6
761,156,5,81.5,3,15,10.7
762,100,0,120.7,1,21,9.3
763,70,10,166.5,4,11,4.3
764,150,11,159.3,3,15,8.4
765,174,11,203.0,2,14,8.6
766,172,12,230.7,3,11,9.5
767,193,8,119.5,1,5,12.9
768,200,13,195.6,3,11,9.3
769,190,2,117.1,2,26,12.6
770,188,14,263.2,4,21,8.3
771,161,6,133.2,3,10,10.4
772,116,1,18.9,2,10,10.1
