student_id,study_hours_per_week,classes_attended,phone_hours_per_day,work_hours_per_week,siblings,exam_score
71,11.5,23,4.6,6,3,67.4
72,2.9,23,3.4,30,4,43.4
73,10.8,24,6.9,20,3,59.4
74,8.6,25,4.0,8,3,61.0
75,12.7,30,4.8,7,4,73.3
76,9.2,23,1.9,28,2,64.4
77,9.1,21,7.3,28,4,51.1
78,5.9,20,2.4,25,4,50.7
79,5.8,16,4.6,25,3,46.8
80,7.9,27,4.1,23,1,54.6
81,4.7,14,2.2,8,3,49.3
82,12.6,30,5.5,17,2,72.4
83,6.6,15,4.8,16,2,48.1
84,7.3,21,4.3,9,3,53.5
85,7.7,20,3.7,26,1,53.5
86,14.8,28,5.3,4,0,78.6
87,12.4,26,4.8,9,3,72.7
88,15.8,22,4.5,26,2,71.8
89,8.1,27,1.0,3,1,71.4
90,8.2,27,3.5,18,3,58.1
91,11.5,19,7.0,0,0,61.1
92,8.1,22,4.9,4,4,55.9
93,14.2,29,4.5,28,3,70.3
94,9.3,26,2.4,25,2,64.1
95,5.0,17,4.3,3,2,47.7
96,5.2,14,4.3,21,0,42.7
97,1.2,18,4.4,23,2,32.3
98,4.2,19,4.4,30,4,42.0
99,8.7,27,3.8,28,3,58.4
100,4.8,20,3.2,16,2,49.2
101,10.2,29,7.3,19,2,66.5
102,5.1,28,5.8,18,0,49.7
103,2.5,18,2.8,26,2,44.9
104,9.1,30,5.3,13,0,66.2
105,12.7,30,4.7,0,0,77.4
106,11.9,26,5.4,30,2,64.5
107,2.0,24,2.6,14,3,46.7
108,9.8,28,2.7,22,1,67.2
109,4.0,17,6.2,7,4,42.6
110,4.6,19,5.7,7,3,39.7
111,13.4,16,5.0,9,4,65.6
112,0.6,11,5.4,9,4,31.8
113,10.5,15,4.7,15,1,63.6
114,7.8,23,6.7,7,4,58.3
115,11.3,27,4.3,13,3,76.2
116,4.8,10,4.6,23,0,44.0
117,14.1,30,2.6,16,1,82.6
118,11.8,21,2.9,11,1,70.7
119,5.1,18,4.9,30,4,39.8
120,4.1,10,3.5,12,0,46.9
121,6.0,22,5.5,22,2,53.1
122,4.6,26,5.1,8,4,45.5
123,0.9,11,4.3,24,4,24.1
124,11.7,26,7.4,8,4,57.4
125,9.9,27,3.4,1,3,72.0
126,2.6,17,5.4,11,4,39.9
127,20.0,30,4.3,26,4,89.2
128,7.2,25,4.2,19,2,52.7
129,2.7,21,5.1,10,0,39.6
130,15.2,30,6.5,30,1,71.0
131,12.1,27,3.3,23,3,66.2
132,7.8,25,3.3,24,3,55.5
133,10.9,28,3.3,16,4,70.8
134,10.6,26,4.6,17,4,65.9
135,6.0,22,2.8,17,0,61.3
136,11.4,24,4.0,2,2,63.9
137,11.7,30,3.9,13,4,70.6
138,7.1,18,3.0,20,4,48.7
139,13.2,28,4.6,13,2,71.4
140,7.9,18,6.1,1,1,54.1
141,0.0,21,4.7,9,4,30.7
142,7.4,12,4.8,19,4,46.4
143,7.6,17,4.3,16,1,58.3
144,7.4,22,7.2,20,4,45.4
145,1.3,13,1.1,23,0,39.2
146,6.6,24,5.4,13,2,52.8
147,6.6,24,6.4,24,2,44.9
148,8.3,19,1.0,8,2,67.2
149,13.1,24,1.0,21,0,84.0
150,0.0,12,3.0,1,4,35.1
151,9.0,24,3.3,28,2,60.8
152,2.2,15,3.2,19,1,35.0
153,13.4,29,3.3,16,0,76.4
154,5.5,20,2.3,26,2,53.9
155,13.1,30,4.7,1,2,75.8
156,8.0,21,9.0,4,4,48.1
157,4.8,19,3.8,27,1,46.5
158,0.1,13,1.0,11,4,41.0
159,9.0,26,9.0,23,4,48.8
160,15.6,27,4.9,18,4,73.5
161,14.1,25,4.9,14,4,71.8
162,9.1,19,6.6,16,4,54.2
163,11.4,25,8.5,18,3,59.0
164,0.0,8,1.6,7,1,39.7
165,4.6,19,4.3,14,1,47.2
166,1.8,19,2.2,21,4,40.2
167,8.9,23,4.9,3,3,57.1
168,6.3,21,6.7,19,0,46.9
169,0.5,17,5.0,7,0,38.9
170,5.7,13,5.5,20,0,40.4
171,13.2,30,3.8,20,1,77.7
172,14.9,28,4.4,2,2,86.2
173,10.8,29,7.3,9,2,67.6
174,4.2,20,1.9,15,4,60.0
175,3.8,15,4.9,1,2,48.0
176,5.3,17,7.7,8,0,40.3
177,16.6,30,4.5,1,1,88.4
178,14.2,30,1.0,22,3,88.7
179,8.8,29,7.5,26,4,49.0
180,8.7,30,5.1,12,2,63.1
181,3.1,18,5.6,13,4,38.5
182,6.0,26,5.0,23,4,46.9
183,7.5,16,4.6,9,4,53.1
184,4.5,23,3.7,3,3,55.3
185,4.4,11,4.6,7,0,42.0
186,11.8,26,3.9,30,4,58.2
187,2.8,17,1.0,11,0,45.1
188,11.8,30,5.2,10,1,68.9
189,12.6,30,1.0,7,3,88.9
190,12.0,30,6.2,19,2,63.8
191,7.5,23,3.5,13,0,62.5
192,5.2,27,5.7,13,4,47.2
193,10.9,30,3.8,10,1,70.9
194,14.2,30,1.1,15,4,85.4
195,8.4,29,4.0,17,1,64.4
196,17.4,30,6.5,19,3,78.3
197,12.0,21,5.6,5,3,68.0
198,7.3,22,8.2,24,4,41.8
199,4.8,23,5.8,26,3,39.2
200,1.3,12,4.3,15,0,31.3
201,6.8,14,3.6,23,4,49.2
202,9.9,24,3.5,8,1,58.6
203,5.2,17,5.9,19,2,39.0
204,11.7,29,4.6,13,4,68.2
205,9.5,25,3.8,0,4,70.0
206,6.4,28,3.7,12,4,55.7
207,6.4,21,2.4,21,0,49.1
208,6.4,16,3.5,27,3,46.1
209,5.6,18,1.9,19,4,47.1
210,12.5,27,5.8,26,0,59.1
211,7.5,20,1.0,15,4,60.1
212,10.1,21,6.5,25,4,51.5
213,11.4,27,8.3,9,0,58.3
214,1.3,11,1.7,10,3,35.4
215,2.8,10,5.7,30,4,30.1
216,10.6,24,1.9,6,4,75.6
217,0.0,15,4.9,29,2,21.2
218,6.3,24,2.5,18,4,58.5
219,6.3,15,6.0,12,4,40.8
220,0.0,14,6.3,15,3,28.3
221,6.5,12,9.0,29,1,33.2
222,4.7,22,1.0,6,3,60.7
223,7.0,20,3.0,23,0,52.9
224,10.0,28,2.7,27,4,73.4
225,12.8,24,6.5,1,4,71.2
226,13.4,24,6.2,5,0,75.2
227,1.8,14,4.0,2,0,41.5
228,10.5,30,5.5,1,3,66.0
229,6.1,18,4.6,1,3,51.7
230,10.8,17,5.4,9,2,58.6
231,13.0,30,6.4,20,2,71.0
232,10.3,30,7.0,0,0,64.6
233,14.9,30,2.9,23,3,67.7
234,14.8,30,4.4,3,4,86.6
235,11.0,23,4.5,25,4,67.1
236,3.3,22,6.5,15,1,42.5
237,9.9,23,5.5,6,0,60.4
238,10.1,25,2.4,5,2,71.2
239,2.7,17,7.2,12,0,32.9
240,17.8,30,2.2,2,4,90.9
241,2.2,25,5.6,22,2,39.1
242,9.9,28,2.0,1,3,70.2
243,14.3,25,6.4,4,1,67.9
244,1.8,13,2.4,19,1,35.5
245,4.8,19,4.0,10,3,46.9
246,2.7,18,3.4,22,2,42.9
247,7.1,27,5.3,23,4,50.1
248,6.6,17,1.8,10,3,61.0
249,12.0,30,2.3,12,2,79.5
250,13.2,24,3.5,10,2,76.3
251,7.3,18,5.8,27,4,43.5
252,9.7,16,3.2,0,3,61.2
253,9.5,28,1.8,2,2,77.1
254,3.9,19,9.0,22,3,30.1
255,4.9,16,2.3,12,2,52.2
256,6.5,23,2.7,5,4,54.3
257,11.7,30,3.3,3,1,73.3
258,6.2,26,4.7,13,2,57.6
259,11.6,22,3.7,20,3,70.8
260,8.2,27,6.1,4,4,53.4
261,10.1,24,5.1,12,0,61.3
262,12.8,24,1.9,18,4,75.2
263,13.9,27,4.3,22,4,71.6
264,11.4,29,4.3,6,1,72.5
265,10.5,30,2.7,8,0,69.8
266,2.3,17,8.5,26,2,20.3
267,5.7,15,2.4,8,0,50.8
268,6.5,25,9.0,3,1,47.4
269,1.5,10,6.1,2,0,37.5
270,10.1,21,6.3,22,3,54.8
271,11.2,26,5.1,17,0,63.6
272,10.0,23,1.0,23,3,71.0
273,0.2,19,2.4,26,2,36.6
274,10.5,23,4.9,3,3,70.8
275,7.9,18,2.5,28,2,51.3
276,14.9,28,3.1,11,3,83.2
277,4.6,16,5.3,14,4,38.9
278,1.9,7,4.9,19,3,31.3
279,10.2,28,4.4,23,4,64.5
280,6.2,25,4.1,9,4,55.2
281,12.1,20,4.3,14,4,56.3
282,5.7,17,4.5,13,0,46.4
283,5.2,16,1.0,0,4,53.9
284,2.3,18,6.7,30,1,22.1
285,5.6,19,2.4,25,1,50.0
286,5.3,12,7.9,26,2,33.4
287,9.2,21,1.9,15,4,59.7
288,1.5,19,8.0,22,1,24.7
289,3.0,9,2.7,5,1,41.3
290,1.6,20,6.0,26,2,31.2
291,1.1,15,4.9,18,0,40.8
292,7.3,15,5.1,4,2,55.7
293,7.3,21,6.0,25,4,39.4
294,9.7,21,7.9,28,0,47.3
295,2.9,17,2.4,2,0,52.1
296,6.4,25,5.0,20,2,52.8
297,13.0,30,5.4,24,4,76.3
298,9.1,25,7.1,0,2,55.5
299,6.5,25,1.3,14,1,64.7
300,4.4,15,2.5,14,4,55.5
301,10.8,28,6.3,25,4,65.3
302,6.0,27,1.6,18,1,64.3
303,12.0,25,3.3,26,4,65.7
304,10.6,19,1.8,22,4,64.5
305,14.4,30,3.0,0,3,88.4
306,9.3,27,7.3,20,3,54.0
307,4.7,16,2.8,23,0,53.6
308,10.1,23,4.7,7,4,70.4
309,7.3,17,6.5,20,2,47.0
310,2.9,14,3.5,10,0,45.9
311,6.1,25,3.5,28,3,54.3
312,7.8,24,6.1,28,4,53.7
313,13.4,22,4.5,29,3,72.1
314,13.2,30,4.9,5,0,75.2
315,12.5,24,7.1,3,4,66.0
316,15.8,25,1.9,18,3,87.4
317,12.0,21,9.0,20,0,57.6
318,3.6,21,6.3,7,2,42.5
319,12.4,30,3.7,28,0,72.5
320,2.7,12,3.5,21,3,37.0
321,8.6,18,3.1,9,1,58.6
322,5.6,22,7.7,19,2,41.7
323,14.6,28,5.9,30,1,63.4
324,7.6,20,4.3,30,0,51.2
325,9.4,26,1.7,5,2,69.8
326,9.5,26,1.2,3,4,78.6
327,12.6,26,5.9,10,3,75.7
328,2.0,18,6.2,28,0,28.7
329,4.8,18,3.3,15,1,44.5
330,10.9,21,5.7,5,2,62.5
331,6.0,17,6.5,25,4,42.7
332,0.0,10,3.5,28,2,26.5
333,17.1,30,2.1,0,0,89.8
334,0.0,12,5.6,21,4,28.5
335,6.4,15,5.2,11,4,53.9
336,12.5,27,2.9,24,2,71.2
337,8.3,25,5.6,2,1,57.9
338,0.9,10,3.5,6,2,33.9
339,7.6,21,2.4,12,0,61.6
340,4.4,21,5.2,24,0,41.7
341,6.1,22,1.0,18,4,63.1
342,6.9,20,1.5,22,2,60.4
343,10.5,21,5.1,10,3,57.6
344,4.6,20,5.5,16,2,44.6
345,1.3,18,7.0,25,3,32.1
346,5.4,19,1.7,2,0,63.8
347,11.4,25,1.0,0,0,80.0
348,10.9,29,5.3,5,2,72.3
349,5.2,20,6.5,15,3,42.0
350,10.0,23,8.9,19,2,45.2
351,10.3,23,4.3,6,0,58.7
352,10.0,30,2.5,14,1,71.4
353,4.6,15,5.9,27,4,39.1
354,9.8,26,1.0,2,4,75.3
355,7.3,19,2.0,23,3,59.5
356,7.2,21,2.3,12,1,61.5
357,10.1,26,5.5,2,0,64.9
358,7.6,14,5.2,9,4,55.1
359,9.6,30,1.2,10,3,71.6
360,9.7,30,1.9,25,3,66.9
361,6.1,28,2.2,15,3,61.4
362,5.4,20,5.0,18,4,47.3
363,7.9,22,4.8,24,3,55.8
364,16.1,30,3.8,7,4,79.1
365,12.6,27,3.8,29,1,64.5
366,10.7,24,6.6,12,0,56.6
367,8.5,18,3.3,24,4,54.1
368,10.9,23,5.9,9,2,58.9
369,6.7,16,6.1,1,2,48.8
370,10.9,21,2.7,7,0,74.0
371,7.5,22,5.1,23,1,55.6
372,9.5,18,3.3,14,3,61.6
373,4.1,14,5.5,20,4,46.4
374,9.7,25,6.4,20,1,57.5
375,10.2,27,4.3,22,4,58.9
376,10.8,21,6.9,18,3,50.3
377,2.6,20,4.8,13,1,38.6
378,3.1,21,4.5,15,2,42.5
379,15.6,28,3.3,24,2,82.0
380,13.1,23,4.7,2,2,74.5
381,8.2,27,2.8,4,3,65.0
382,4.9,22,1.8,30,0,48.1
383,4.1,20,3.6,30,1,38.9
384,2.4,14,3.3,4,1,43.3
385,7.2,23,3.9,4,3,61.4
386,8.4,26,7.3,1,2,54.7
387,2.2,23,2.1,17,3,53.6
388,9.8,27,3.3,22,1,66.9
389,0.1,18,1.0,9,4,40.6
390,8.0,23,2.5,6,1,62.4
391,6.5,16,5.4,18,2,45.2
392,12.7,27,5.6,7,2,76.4
393,10.8,20,3.8,6,4,63.2
394,6.2,19,3.3,8,2,52.5
395,7.3,16,4.6,10,2,58.3
396,11.9,22,3.9,24,3,65.4
397,13.6,30,2.5,23,4,82.1
398,5.4,21,5.2,24,3,49.3
399,12.8,23,6.9,15,1,67.2
400,12.5,30,1.4,11,2,78.7
401,11.0,30,1.8,7,3,82.9
402,4.0,21,3.5,14,3,54.9
403,4.3,21,5.3,8,3,45.2
404,10.0,19,7.2,21,0,55.3
405,12.6,28,2.1,13,2,84.6
406,4.4,19,5.7,4,4,45.1
407,10.5,24,4.1,26,0,64.1
408,1.5,12,1.7,10,1,43.1
409,9.6,27,4.6,20,3,59.8
410,2.7,20,3.9,16,4,41.4
411,10.0,26,7.5,29,3,56.6
412,11.1,26,4.8,18,1,67.2
413,11.6,30,6.1,6,2,64.7
414,14.2,25,6.3,21,2,63.8
415,11.7,27,4.1,20,3,73.0
416,13.9,30,4.0,9,0,80.2
417,3.3,11,5.6,18,4,33.2
418,6.7,18,4.8,5,0,49.9
419,9.3,27,4.3,28,3,64.8
420,7.4,16,7.8,1,2,54.6
421,0.0,13,5.4,16,3,28.5
422,5.0,15,3.2,12,4,46.5
423,0.3,18,5.3,28,0,23.2
424,17.0,30,4.3,1,3,85.4
425,8.7,30,6.1,14,4,64.2
426,1.9,13,6.4,2,0,33.5
427,5.4,26,6.2,9,1,48.4
428,4.7,19,3.8,26,1,43.1
429,3.0,17,6.0,25,4,37.5
430,13.1,30,4.5,1,4,81.1
431,5.0,18,3.4,7,2,53.8
432,6.6,20,6.1,29,1,37.9
433,11.1,27,6.1,22,2,53.6
434,9.8,17,4.3,23,2,59.0
435,19.0,26,6.1,11,0,86.2
436,6.3,23,7.2,21,1,44.2
437,10.9,24,3.0,0,0,70.1
438,9.7,24,3.9,8,3,68.5
439,10.7,19,1.6,10,3,77.1
440,9.0,25,7.2,22,4,51.9
441,9.6,17,2.5,7,1,67.7
442,7.5,25,5.5,0,4,53.9
443,3.3,14,3.1,4,4,50.0
444,14.0,28,7.5,4,1,68.2
445,11.2,29,5.2,21,3,64.8
446,0.0,11,6.0,12,0,29.2
447,9.2,27,5.2,7,2,61.7
448,6.1,21,4.3,14,4,49.8
449,8.5,24,5.6,19,3,53.9
450,8.6,25,6.3,24,0,56.0
451,6.6,21,6.5,1,2,45.7
452,8.6,20,8.4,2,0,52.4
453,7.8,19,5.5,11,0,44.6
454,7.9,23,2.8,15,3,59.7
455,12.8,29,4.6,25,2,67.9
456,0.0,14,4.8,1,1,42.3
457,6.4,16,2.9,2,1,53.0
458,12.5,25,2.2,6,2,75.9
459,4.3,10,6.7,0,1,41.3
460,8.9,22,3.4,30,3,57.6
461,2.8,20,7.4,16,0,32.6
462,11.1,28,3.4,24,1,68.2
463,0.3,8,2.3,16,4,29.7
464,6.6,20,5.3,12,1,53.8
465,6.9,26,3.8,10,1,57.3
466,7.8,20,4.6,6,2,57.9
467,0.7,21,3.1,8,3,51.2
468,6.3,18,6.1,6,0,50.9
469,8.5,25,5.8,1,2,55.0
470,6.9,22,4.1,8,0,49.3
471,11.6,29,3.4,15,0,70.2
472,12.0,27,2.2,14,4,78.6
473,11.0,23,5.4,14,4,66.5
474,9.3,23,7.9,29,4,48.8
475,3.4,21,5.6,8,3,40.5
476,7.6,24,7.2,3,4,53.3
477,12.9,30,1.6,5,2,85.4
478,7.8,26,5.6,29,0,52.0
479,14.1,30,5.6,1,0,75.6
480,14.5,30,8.8,2,1,73.7
481,10.9,22,6.2,6,2,68.6
482,8.1,18,3.2,28,2,50.8
483,4.3,19,4.2,4,3,52.7
484,8.2,19,1.0,27,4,58.5
485,7.6,26,7.0,13,4,47.5
486,8.3,18,3.4,27,2,54.0
487,6.6,22,8.5,27,4,45.4
488,11.6,30,2.2,22,3,70.2
489,7.7,20,6.9,9,0,49.2
490,10.1,24,7.2,29,4,50.8
491,6.6,21,1.7,24,0,55.3
492,2.6,20,5.0,14,0,40.5
493,11.9,19,2.5,2,2,70.9
494,7.6,21,4.8,4,0,57.5
495,6.0,20,6.1,9,3,45.7
496,10.7,30,5.0,6,3,72.8
497,13.4,30,4.6,24,1,71.9
498,8.5,23,4.5,29,1,50.5
499,5.5,17,6.2,8,0,41.9
500,15.1,25,4.4,24,1,70.8
501,9.3,25,5.1,9,3,63.3
502,8.6,14,7.0,18,4,50.0
503,8.4,19,4.0,29,4,53.0
504,4.9,19,3.6,9,3,52.3
505,10.1,30,3.8,17,0,66.9
506,5.3,22,5.0,13,1,48.2
507,9.2,19,5.6,30,1,49.2
508,5.5,20,2.8,3,1,56.3
509,11.7,28,4.1,14,2,72.7
510,8.4,24,4.9,30,3,46.9
511,3.5,17,1.6,0,3,56.0
512,3.9,15,6.2,3,3,41.4
513,2.3,14,4.2,29,3,33.4
514,1.3,16,1.4,15,2,46.9
515,9.5,19,6.8,14,4,49.8
516,10.9,21,4.0,18,4,69.5
517,9.5,26,6.5,24,1,49.2
518,7.6,21,3.8,0,0,61.5
519,13.9,22,1.0,10,0,83.0
520,7.9,17,2.1,17,3,58.3
521,4.8,11,4.6,24,3,36.7
522,1.8,11,3.2,13,3,38.6
523,13.5,28,5.8,4,0,77.2
524,7.2,20,1.4,26,2,60.6
525,8.6,21,2.3,23,0,60.9
526,11.1,27,4.3,6,0,74.8
527,7.0,20,3.3,12,1,59.8
528,9.7,29,2.1,19,3,68.4
529,5.7,17,3.2,3,4,48.1
530,8.0,14,6.1,25,2,46.1
531,6.4,18,3.9,26,1,50.9
532,11.4,30,2.7,27,0,73.2
533,8.3,22,7.5,3,1,47.1
534,9.7,22,3.1,16,2,67.3
535,14.5,30,5.8,7,1,82.4
536,14.2,22,5.7,18,1,73.4
537,7.7,19,4.0,21,0,52.3
538,4.9,24,4.0,13,1,47.5
539,6.7,19,3.8,6,3,53.0
540,4.7,16,3.0,30,1,37.4
541,0.0,20,3.1,11,3,39.8
542,9.3,25,3.7,12,0,62.4
543,8.9,22,4.2,25,3,58.1
544,11.8,23,2.6,2,1,77.1
545,0.4,16,2.7,2,4,40.1
546,9.6,21,5.6,23,4,51.2
547,4.8,14,2.5,1,1,51.7
548,3.1,8,1.0,9,4,45.3
549,3.0,19,4.9,26,4,37.2
550,8.4,21,1.6,16,0,65.8
551,9.2,29,3.9,9,3,69.0
552,8.2,20,1.1,15,4,71.2
553,3.0,14,2.0,2,2,49.2
554,9.7,18,7.0,2,4,58.9
555,8.2,22,2.5,14,4,66.2
556,14.6,28,4.1,21,4,76.6
557,6.1,22,5.7,18,1,45.9
558,12.2,30,3.5,10,4,74.9
559,7.0,27,1.0,20,4,62.4
560,8.6,18,4.2,28,2,52.8
561,7.2,16,3.6,18,4,50.6
562,5.5,19,5.0,9,4,43.8
563,12.8,30,5.0,25,2,68.9
564,12.1,28,5.3,25,4,66.8
565,8.3,24,4.3,24,3,55.2
566,1.4,19,2.0,7,2,48.1
567,5.2,20,2.2,15,1,50.7
568,5.6,24,4.0,11,2,52.9
569,0.4,15,2.5,3,2,39.0
570,12.4,30,6.7,30,1,60.1
571,6.6,23,5.9,16,1,48.9
572,0.0,8,6.2,27,0,19.5
573,12.4,30,5.2,12,2,68.3
574,16.5,30,7.4,15,0,73.6
575,10.6,30,3.1,12,1,72.9
576,4.9,16,4.0,12,3,49.5
577,7.8,26,3.3,7,3,62.7
578,10.8,21,3.6,28,2,61.9
579,7.2,21,4.9,23,2,46.1
580,3.1,16,7.7,17,0,31.6
581,12.2,30,4.8,28,2,72.2
582,6.1,22,1.0,0,3,69.3
583,5.5,17,6.8,14,4,40.2
584,8.5,21,2.8,11,4,63.5
585,10.7,25,4.1,23,2,64.0
586,7.8,25,3.3,15,2,58.2
587,5.5,22,3.6,30,1,42.6
588,14.4,28,3.3,2,2,77.0
589,8.1,26,3.0,8,1,59.2
590,6.3,15,3.7,2,0,58.3
591,12.2,26,1.8,19,3,79.0
592,6.4,25,3.7,14,1,57.2
593,4.0,9,2.3,21,3,45.9
594,7.1,19,3.5,16,2,53.0
595,1.8,12,4.3,10,1,30.1
596,15.4,30,5.4,11,4,81.8
597,10.7,24,5.5,24,1,57.1
598,13.4,25,1.8,17,0,78.0
599,2.4,23,3.0,1,2,51.0
600,7.6,24,1.7,9,2,62.4
601,8.5,27,1.1,9,3,73.1
602,6.4,22,4.1,14,0,48.8
603,9.6,19,1.3,16,4,66.4
604,7.7,22,4.8,28,0,50.4
605,11.3,23,8.0,19,4,51.9
606,4.9,16,2.1,19,0,46.5
607,6.2,21,5.4,12,0,49.8
608,9.9,20,5.0,4,1,62.7
609,3.3,16,2.8,6,4,47.6
610,10.4,24,1.0,15,4,71.8
611,10.1,24,4.7,1,1,66.7
612,6.1,18,4.0,0,1,53.6
613,16.3,24,4.1,0,4,86.0
614,6.2,20,5.6,2,3,53.5
615,6.0,18,5.5,12,3,45.0
616,10.3,24,6.2,15,4,56.2
617,7.6,23,3.4,3,4,65.2
618,18.3,30,2.9,5,4,93.1
619,0.0,9,5.7,4,2,29.7
620,8.5,30,6.9,6,4,56.0
621,8.1,22,4.0,10,0,63.9
622,3.1,20,7.0,25,0,35.9
623,10.1,29,4.1,15,4,68.8
624,10.6,30,4.1,7,1,79.2
625,7.4,18,7.3,16,2,44.0
626,4.3,17,4.6,24,4,39.8
627,13.1,30,4.7,15,3,74.3
628,20.0,30,1.5,5,0,95.7
629,0.0,11,4.1,21,2,25.2
630,14.4,28,3.1,7,0,81.6
631,8.0,25,2.9,7,4,63.3
632,7.6,25,4.6,29,4,54.0
633,6.7,20,4.1,18,2,54.6
634,11.3,30,5.6,29,1,66.2
635,10.1,19,3.5,19,3,63.4
636,5.1,19,4.8,25,0,43.8
637,6.3,23,5.4,25,1,46.2
638,10.5,24,4.3,26,2,57.7
639,15.6,30,7.5,29,0,62.3
640,15.5,30,5.8,14,1,78.3
641,14.5,29,4.6,3,1,87.5
642,4.1,17,4.0,28,3,44.4
643,4.0,12,5.0,15,2,39.3
644,12.8,30,5.4,5,2,68.8
645,10.5,18,7.1,3,0,56.5
646,10.9,22,2.4,16,4,65.3
647,9.6,21,4.1,6,4,65.3
648,9.4,18,3.5,28,1,53.7
649,3.7,12,3.5,30,1,39.8
650,7.6,21,8.3,8,2,46.2
651,8.0,17,1.9,0,2,63.8
652,9.4,19,7.3,16,4,49.8
653,8.3,23,3.4,30,1,54.1
654,3.9,15,2.2,10,2,53.6
655,9.5,20,2.7,14,2,65.3
656,2.4,21,6.2,11,2,35.4
657,0.0,15,1.0,0,1,47.0
658,4.0,19,5.7,5,2,47.4
659,7.8,22,6.6,23,0,49.2
660,12.1,20,4.4,29,4,60.0
661,4.8,20,6.2,26,2,37.8
662,10.5,23,2.5,1,2,66.4
663,5.7,19,5.1,19,1,51.5
664,7.0,24,3.3,13,0,58.9
665,9.7,25,5.9,11,3,68.0
666,9.0,17,2.9,4,1,67.5
667,0.0,14,3.0,4,2,34.5
668,14.6,30,5.2,24,4,73.4
669,19.9,30,3.2,5,4,92.1
670,14.1,24,5.9,6,1,66.4
671,6.6,13,3.9,14,3,46.9
672,4.6,24,4.8,5,0,46.1
673,14.8,30,3.6,12,0,85.6
674,13.3,30,4.2,23,0,71.6
675,14.0,28,1.0,5,2,89.9
676,12.5,30,1.0,15,4,79.0
677,9.8,25,2.2,25,3,70.6
678,11.0,19,5.7,19,1,63.1
679,5.7,14,3.1,15,4,47.6
680,10.3,25,3.0,4,2,71.3
681,4.1,18,1.6,22,0,53.3
682,8.8,27,4.9,28,1,58.4
683,3.6,18,5.9,0,3,39.8
684,10.8,28,5.8,13,1,65.7
685,8.4,22,5.0,26,3,46.0
686,11.5,16,1.9,10,1,69.1
687,10.0,20,4.6,0,4,68.2
688,9.8,23,6.6,19,2,53.6
689,6.7,26,5.2,7,0,59.1
690,8.6,26,3.8,27,4,56.7
691,1.9,18,6.7,2,0,41.4
692,9.1,18,4.9,1,3,64.8
693,12.1,28,6.2,20,1,61.5
694,12.3,27,3.7,27,2,75.1
695,9.8,23,5.5,0,2,64.9
