hotel_id,room_area_m2,stars,distance_center_km,hotel_age_years,photos_in_listing,price_thousand_kzt
105,18,2,3.1,33,26,34.1
106,30,3,8.4,25,32,38.5
107,27,2,4.6,35,35,37.8
108,32,3,2.4,33,4,46.3
109,39,5,3.1,33,15,62.4
110,35,5,3.2,37,25,56.2
111,25,3,8.7,16,6,37.3
112,30,3,2.0,27,40,43.6
113,24,3,4.0,37,6,38.3
114,31,4,2.3,35,12,50.2
115,19,2,7.4,38,35,24.3
116,37,5,0.6,32,8,59.0
117,38,5,2.6,15,27,59.9
118,26,2,3.0,37,32,36.2
119,27,3,6.7,10,17,40.2
120,27,3,4.6,27,34,40.1
121,24,4,6.7,26,33,41.2
122,48,5,3.3,12,29,71.7
123,26,3,7.9,24,37,39.5
124,38,5,3.1,17,15,62.6
125,29,2,1.3,26,17,40.1
126,20,2,1.8,13,16,33.2
127,24,3,6.4,29,39,36.8
128,30,4,8.2,1,4,49.9
129,27,4,2.0,2,28,47.9
130,28,3,1.9,35,22,41.7
131,28,4,2.1,6,21,49.8
132,20,2,5.4,2,13,39.6
133,36,5,7.3,23,20,58.8
134,22,2,5.9,31,11,29.9
135,21,2,1.8,27,25,34.0
136,14,1,4.3,36,36,19.8
137,18,2,14.3,22,13,24.9
138,25,2,11.1,29,34,32.3
139,21,4,3.1,15,23,40.2
140,22,3,4.5,26,18,39.6
141,29,3,4.7,4,10,47.5
142,26,3,1.6,6,17,45.6
143,14,1,8.7,5,40,18.2
144,27,4,3.1,3,17,49.9
145,26,5,3.9,11,24,53.2
146,37,3,1.6,2,35,53.7
147,20,2,2.5,34,36,33.2
148,30,4,3.0,9,39,53.1
149,16,1,3.7,28,29,23.7
150,48,5,5.7,31,4,65.7
151,23,2,5.4,35,25,36.0
152,34,3,7.3,23,6,51.1
153,27,3,2.3,23,6,39.1
154,23,3,6.4,19,31,39.0
155,14,1,9.9,14,6,17.3
156,19,2,6.1,15,36,30.7
157,24,2,8.6,5,25,34.4
158,23,3,2.2,22,38,40.9
159,31,4,4.8,17,40,45.9
160,19,1,2.6,29,39,27.1
161,24,3,4.0,2,13,39.3
162,14,1,6.1,25,19,21.9
163,22,3,16.0,35,18,24.5
164,30,1,6.2,11,15,36.6
165,26,2,1.4,12,35,42.6
166,31,5,9.9,2,14,55.9
167,35,4,3.8,16,24,55.6
168,36,5,2.9,17,9,62.1
169,27,3,3.2,4,14,50.9
170,12,1,7.4,19,40,14.0
171,28,3,7.0,5,7,43.1
172,44,5,3.1,36,33,65.3
173,30,3,16.0,9,13,35.7
174,12,1,5.5,39,24,20.8
175,17,3,6.5,29,36,31.5
176,25,3,6.4,15,23,40.7
177,18,3,9.6,14,16,36.5
178,34,2,6.9,26,19,42.8
179,28,3,1.9,11,23,44.5
180,28,4,4.9,18,32,45.7
181,24,2,4.6,31,27,32.6
182,13,1,4.7,16,15,25.7
183,45,5,10.7,7,18,64.1
184,18,3,5.1,19,10,34.0
185,24,4,3.5,20,18,41.5
186,32,4,11.4,14,21,46.4
187,28,1,12.2,5,23,33.2
188,24,3,5.2,15,12,34.5
189,27,3,16.0,14,22,32.0
190,35,5,3.6,34,34,59.1
191,44,4,8.5,0,32,62.2
192,26,5,3.9,26,31,48.8
193,31,2,6.0,35,7,38.4
194,46,5,5.8,10,21,69.7
195,20,3,1.6,31,13,36.2
196,29,3,8.0,28,40,46.0
197,42,4,2.1,8,13,63.2
198,30,4,8.0,29,35,50.7
199,13,1,4.2,25,33,18.1
200,21,1,4.3,39,17,22.3
201,32,3,1.4,10,17,48.7
202,24,5,2.0,23,5,51.5
203,32,3,2.3,32,28,47.2
204,39,3,4.2,6,37,59.3
205,35,4,5.7,19,36,52.2
206,22,3,4.4,25,12,33.6
207,18,2,5.0,25,32,29.2
208,24,2,1.9,32,16,39.8
209,27,3,2.4,14,40,42.9
210,25,3,3.0,31,23,40.1
211,33,2,8.0,37,22,38.4
212,36,5,4.7,3,22,56.6
213,26,5,1.9,32,28,51.4
214,23,2,2.5,29,12,36.9
215,29,3,15.4,11,32,33.3
216,25,1,11.8,30,5,25.0
217,29,2,2.2,16,34,36.3
218,35,5,5.0,7,26,57.8
219,23,4,5.1,29,7,44.2
220,16,2,2.0,25,18,29.2
221,21,3,5.1,3,23,40.1
222,29,2,10.9,26,11,31.9
223,20,1,3.2,6,27,36.6
224,26,4,8.8,33,28,40.7
225,32,5,3.7,20,25,54.1
226,27,4,6.3,2,40,48.4
227,25,4,1.5,2,5,48.7
228,33,3,12.7,10,37,46.1
229,25,2,7.6,30,4,32.2
230,36,5,4.8,33,6,54.9
231,35,3,7.7,39,23,45.1
232,24,4,5.7,36,37,38.4
233,21,2,1.2,2,10,37.2
234,28,2,3.4,34,17,40.2
235,42,5,7.6,12,33,63.2
236,26,3,4.4,35,40,40.6
237,30,4,4.2,24,39,49.5
238,24,3,6.2,36,31,38.8
239,39,4,3.3,21,7,55.7
240,23,2,1.9,19,4,40.0
241,19,2,5.0,20,25,27.9
242,31,4,4.1,4,12,46.6
243,26,3,3.8,37,34,39.7
244,28,5,1.1,6,23,55.0
245,27,4,3.9,33,21,48.7
246,22,2,7.2,34,29,28.4
247,35,3,4.1,12,20,46.9
248,31,3,5.2,17,5,45.9
249,34,4,2.5,35,11,52.1
250,30,4,5.4,15,18,49.3
251,26,5,3.1,34,38,51.5
252,29,1,2.9,34,10,36.1
253,38,5,4.8,3,11,60.3
254,26,5,7.0,23,22,40.9
255,29,4,3.2,20,9,49.9
256,27,2,8.7,12,11,37.8
257,42,5,2.2,7,21,65.7
258,23,4,2.6,10,15,49.1
259,21,3,4.9,16,9,35.9
260,17,4,14.1,7,35,31.5
261,17,4,3.2,7,33,42.0
262,45,4,2.2,5,27,66.5
263,29,3,3.4,24,28,44.6
264,29,4,3.9,37,20,49.4
265,30,2,15.2,4,38,35.1
266,28,4,4.2,24,25,46.8
267,35,4,5.2,27,5,51.2
268,21,4,4.2,27,33,38.8
269,34,3,7.2,19,37,51.5
270,14,1,3.5,30,9,16.5
271,19,2,9.9,2,8,26.7
272,28,2,3.8,31,32,37.3
273,28,4,1.1,14,35,48.8
274,25,2,2.8,19,4,36.9
275,37,4,7.1,35,25,49.7
276,34,4,12.7,37,29,40.3
277,33,3,15.2,22,17,37.1
278,37,4,8.8,39,36,49.5
279,27,2,3.5,21,7,42.8
280,20,4,4.7,4,30,42.7
281,34,5,2.9,40,31,56.2
282,29,4,7.5,34,4,47.6
283,39,5,3.5,31,25,60.0
284,24,3,4.8,30,15,39.9
285,25,3,5.8,4,37,41.3
286,28,3,4.5,12,32,42.6
287,28,2,4.4,31,13,41.4
288,21,2,1.2,37,5,34.2
289,36,5,4.6,4,6,56.6
290,25,3,12.2,26,19,35.1
291,25,3,2.7,5,37,39.1
292,33,3,1.4,19,14,52.4
293,31,2,3.5,26,7,42.6
294,17,3,7.1,8,35,33.8
295,18,2,3.5,3,36,34.0
296,47,5,10.4,2,7,64.2
297,25,3,3.4,10,22,44.7
298,33,5,4.6,5,22,62.7
299,30,3,8.6,10,11,41.4
300,19,3,7.3,14,19,34.2
301,16,1,1.5,28,35,24.5
302,28,3,2.1,5,11,45.3
303,35,3,2.7,32,11,46.6
304,35,4,10.5,27,10,49.1
305,27,4,3.1,8,23,47.4
306,35,4,10.1,2,24,49.5
307,28,2,11.1,2,29,35.3
308,34,3,4.2,29,9,43.5
309,16,1,5.8,15,15,25.5
310,13,3,3.9,39,29,25.9
311,27,3,2.6,33,13,40.2
312,32,3,4.7,7,7,49.8
313,30,4,4.0,31,5,52.1
314,31,3,10.4,20,15,40.0
315,31,4,5.7,37,26,47.9
316,35,3,6.4,38,35,44.2
317,19,2,3.1,27,30,31.5
318,16,2,2.7,39,20,28.0
319,40,5,6.1,35,4,61.5
320,28,3,5.6,17,6,44.3
321,25,2,4.6,0,29,42.7
322,34,4,2.4,28,38,55.3
323,22,2,6.4,29,4,26.5
324,16,2,3.9,19,13,26.8
325,29,3,1.8,8,35,52.4
326,31,3,2.4,10,19,48.0
327,37,5,7.5,28,30,56.0
328,29,4,2.7,10,25,52.1
329,48,5,5.8,6,24,70.0
330,34,3,1.1,1,36,51.7
331,34,4,10.9,37,14,43.5
332,32,4,6.3,4,25,43.4
333,28,2,2.3,2,21,42.4
334,19,2,9.3,40,7,26.8
335,18,2,6.2,32,36,25.1
336,25,2,6.1,15,33,37.2
337,34,4,3.2,11,36,54.7
338,25,2,6.7,7,30,31.7
339,38,3,2.6,37,37,51.2
340,22,3,7.8,4,16,35.7
341,27,3,4.0,29,25,44.3
342,41,2,1.4,10,29,56.0
343,12,1,4.8,25,28,25.2
344,33,4,12.0,39,6,43.1
345,25,2,2.1,0,13,40.1
346,26,4,3.0,34,4,47.9
347,40,3,5.3,21,30,53.3
348,27,3,1.3,29,24,43.6
349,29,3,13.7,8,27,37.8
350,32,4,6.7,1,28,56.9
351,29,2,2.8,15,9,45.6
352,21,2,6.6,11,20,31.3
353,39,4,1.7,34,35,57.5
354,20,2,7.8,40,31,24.8
355,18,1,7.3,10,24,21.3
356,33,4,3.6,35,13,59.1
357,20,2,3.3,27,7,32.9
358,30,3,5.1,16,34,40.8
359,33,5,3.9,27,12,51.6
360,27,5,3.0,0,10,50.8
361,37,5,7.2,31,12,56.3
362,31,5,4.8,18,33,54.6
363,22,3,2.2,18,37,38.3
364,35,3,16.0,27,32,42.4
365,39,5,3.4,35,30,62.0
366,20,4,4.7,8,39,40.5
367,17,1,1.3,19,33,31.7
368,35,3,5.9,17,23,49.6
369,31,4,4.0,37,35,47.5
370,43,5,4.0,12,16,67.6
371,34,4,5.2,40,13,53.1
372,25,3,3.7,13,30,39.6
373,29,5,9.1,20,40,47.8
374,17,3,6.2,7,35,34.5
375,35,5,2.8,9,10,63.3
376,26,3,0.5,38,18,40.3
377,32,5,4.6,18,34,53.5
378,28,2,3.3,31,37,40.1
379,30,4,2.6,22,31,49.0
380,23,3,13.8,0,14,34.1
381,22,4,4.3,30,21,40.4
382,31,4,5.5,6,32,49.4
383,29,2,2.6,32,16,39.9
384,34,3,3.4,35,11,48.4
385,28,4,3.3,28,21,49.2
386,20,4,16.0,38,32,22.7
387,26,1,5.8,30,21,32.6
388,29,5,5.7,4,13,54.9
389,21,3,8.6,36,31,34.4
390,36,4,9.1,39,9,49.0
391,21,1,5.6,39,11,23.2
392,36,3,4.7,3,33,46.0
393,13,1,2.2,0,40,25.2
394,17,1,1.6,6,15,21.9
395,13,2,10.2,14,5,21.1
396,27,3,7.6,36,37,38.6
397,28,2,2.6,4,27,45.8
398,29,3,3.1,32,37,47.5
399,36,5,6.4,28,23,60.3
400,23,3,11.9,26,18,29.1
401,27,3,5.9,19,38,40.3
402,47,4,5.4,14,11,61.1
403,33,5,8.1,25,30,52.2
404,23,3,3.6,35,9,33.2
405,25,3,2.9,28,22,41.1
406,25,3,7.2,9,17,40.7
407,25,4,3.5,3,20,46.4
408,23,3,2.8,32,36,39.8
409,40,5,12.8,31,13,55.0
410,22,2,8.9,37,26,27.3
411,16,3,9.1,24,17,26.3
412,21,3,3.1,38,17,36.3
413,17,4,4.3,4,19,40.9
414,27,5,4.4,35,12,45.2
415,32,2,14.3,28,27,32.3
416,34,2,10.2,33,6,38.5
417,32,5,2.6,28,5,53.4
418,21,2,1.8,34,14,34.9
419,22,3,2.4,5,10,43.6
420,19,3,4.6,5,23,43.7
421,42,4,1.7,25,27,64.7
422,23,4,3.0,4,17,42.3
423,23,2,5.0,15,16,36.6
424,45,4,3.3,22,31,61.6
425,34,4,7.8,29,7,46.3
426,18,2,10.0,16,9,26.5
427,19,4,3.6,14,27,37.6
428,34,4,4.5,15,25,55.1
429,32,1,5.0,18,9,35.7
430,19,2,2.0,31,4,31.0
431,26,4,1.6,39,21,45.2
432,27,3,11.1,4,27,39.7
433,33,5,3.8,1,18,57.8
434,37,4,6.8,16,31,52.5
435,35,5,8.6,17,12,53.2
436,22,1,1.2,15,6,26.5
437,20,2,4.0,15,38,33.7
438,36,3,1.6,30,9,53.9
439,34,5,6.8,31,32,54.7
440,30,2,8.4,19,16,35.9
441,20,1,6.0,27,23,23.8
442,21,5,4.2,17,18,48.4
443,29,2,1.8,40,33,40.4
444,32,4,7.9,22,30,47.2
445,27,2,2.9,26,40,39.0
446,28,4,2.8,35,6,42.5
447,34,2,4.7,6,31,43.0
448,27,4,0.7,17,9,50.3
449,30,4,2.0,5,32,53.8
450,35,4,3.7,40,31,50.0
451,24,3,2.4,16,13,44.1
452,33,3,4.1,8,24,49.4
453,26,2,8.6,16,33,34.3
454,24,2,6.8,28,40,32.9
455,31,3,3.1,2,34,50.6
456,17,2,11.1,0,20,22.0
457,41,3,16.0,36,13,42.7
458,24,2,2.9,33,22,38.5
459,34,2,6.1,38,19,39.9
460,32,4,5.5,4,17,51.9
461,35,5,4.7,36,34,51.4
462,34,4,7.7,30,30,48.5
463,29,4,16.0,22,11,40.7
464,24,2,4.6,10,37,38.1
465,25,3,12.1,7,29,33.7
466,12,1,7.7,37,4,17.8
467,23,5,14.4,1,16,41.1
468,28,2,2.6,30,17,36.8
469,27,3,2.5,10,29,45.5
470,21,4,5.5,33,39,34.5
471,39,4,3.8,35,34,61.5
472,25,2,4.6,15,10,37.9
473,22,3,3.5,6,40,38.9
474,22,3,3.2,28,34,37.6
475,30,3,2.4,14,9,50.0
476,29,1,6.1,19,17,34.3
477,27,4,4.4,31,30,45.9
478,15,1,4.0,1,33,22.3
479,31,4,1.7,38,6,49.1
480,25,3,1.2,4,31,47.7
481,21,2,6.8,33,22,29.7
482,24,1,2.8,23,25,32.3
483,25,3,1.1,22,36,42.4
484,33,2,1.1,15,34,50.4
485,38,4,1.3,0,32,59.4
486,39,4,7.9,39,22,50.4
487,23,1,6.4,32,28,28.7
488,26,3,2.5,33,22,44.6
489,30,4,2.0,33,25,44.9
490,29,4,2.0,12,10,55.9
491,33,5,1.6,37,37,55.5
492,32,4,8.4,12,34,48.0
493,27,2,1.3,7,26,40.5
494,22,2,10.0,35,13,29.9
495,18,1,4.0,21,28,26.6
496,42,5,8.3,32,24,55.1
497,30,3,3.6,24,20,46.7
498,23,2,6.8,26,33,30.9
499,23,4,9.3,12,9,42.2
500,26,1,12.9,3,18,33.3
501,31,2,4.2,39,10,37.9
502,39,4,3.5,25,40,58.3
503,35,5,4.8,26,37,58.5
504,34,4,1.2,25,5,57.0
505,16,1,3.0,11,17,29.4
506,29,3,7.5,40,38,41.7
507,23,3,6.4,30,17,32.1
508,27,3,0.8,8,8,49.8
509,30,2,4.3,28,30,39.3
510,26,4,3.4,17,24,48.1
511,35,5,5.1,35,8,57.3
512,18,2,2.2,2,12,37.6
513,29,4,1.5,14,17,48.8
514,34,4,14.2,29,15,44.0
515,32,3,2.9,39,33,44.3
516,41,3,5.7,35,6,53.2
517,24,5,7.6,35,39,44.5
518,24,3,4.4,25,16,40.6
519,23,2,5.6,31,29,33.3
520,34,5,5.4,28,5,55.0
521,20,2,13.6,34,10,24.0
522,19,1,5.8,19,26,26.8
523,20,3,3.3,37,18,34.8
524,34,5,1.2,5,27,58.5
525,35,4,10.4,0,12,52.2
526,30,3,2.8,0,16,51.6
527,23,2,6.2,30,4,29.4
528,27,3,1.1,21,12,37.5
529,21,2,7.0,37,26,34.9
530,16,2,5.3,29,21,28.1
531,26,4,4.8,35,21,46.2
532,22,2,16.0,0,35,26.3
533,35,3,2.1,3,32,51.2
534,36,4,7.0,27,15,50.7
535,21,1,2.0,12,37,32.3
536,37,4,6.7,11,7,50.3
537,36,5,2.9,7,26,61.3
538,21,3,4.4,0,22,37.6
539,27,3,5.7,35,19,41.8
540,20,2,7.9,35,14,27.0
541,37,5,3.4,29,9,56.2
542,24,4,8.9,34,17,35.5
543,27,2,16.0,13,40,29.7
544,26,2,3.2,18,6,35.9
545,36,4,2.7,6,13,59.7
546,25,2,7.6,0,34,36.8
547,21,1,4.3,11,34,26.4
548,32,3,3.7,33,32,42.9
549,22,3,3.9,25,16,41.5
550,34,5,4.3,10,38,59.2
551,32,1,2.5,4,14,44.4
552,25,3,3.9,22,11,45.5
553,14,2,10.9,6,31,24.8
554,40,4,10.0,36,24,48.7
555,29,5,4.7,35,34,48.6
556,30,2,5.4,33,30,38.4
557,37,5,7.8,22,29,55.0
558,25,4,4.3,11,38,44.3
559,29,4,5.9,10,4,48.3
560,32,3,10.0,21,38,44.5
561,54,5,5.3,33,35,71.6
562,27,2,6.5,36,39,30.3
563,33,5,1.3,7,36,60.6
564,23,3,2.1,26,18,36.7
565,30,3,4.2,3,32,44.2
566,22,3,2.9,5,15,39.7
567,39,2,9.9,16,30,45.1
568,27,3,6.0,20,4,38.6
569,38,3,6.0,32,35,47.8
570,26,3,4.8,1,15,40.1
571,27,4,1.5,2,13,49.4
572,34,3,8.1,16,32,45.6
573,25,4,11.5,40,22,35.5
574,27,2,2.2,34,34,38.2
575,17,1,2.7,18,14,25.1
576,38,4,3.9,27,36,53.4
577,26,2,16.0,39,22,25.3
578,14,1,4.9,11,26,23.3
579,30,4,2.3,11,13,46.4
580,34,4,4.2,11,16,54.9
581,41,5,3.8,22,32,65.7
582,37,4,3.2,6,27,54.7
583,31,2,1.5,35,11,37.8
584,36,5,5.3,40,24,52.4
585,23,4,5.7,29,35,39.5
586,27,3,4.2,27,14,43.9
587,30,4,2.6,8,32,52.6
588,16,1,1.4,3,8,30.7
589,26,5,7.7,34,9,43.6
590,26,3,16.0,31,24,30.8
591,26,2,6.4,5,37,34.1
592,24,4,1.2,7,23,48.3
593,21,2,3.3,21,12,32.3
594,33,3,2.2,18,6,45.8
595,33,4,6.6,21,36,48.8
596,33,2,10.9,4,30,40.7
597,29,4,1.6,40,18,51.0
598,32,2,4.6,24,10,40.9
599,37,5,2.9,5,27,68.5
600,34,2,1.0,37,13,47.1
601,16,2,2.7,4,6,31.7
602,20,1,11.7,28,39,20.2
603,16,2,16.0,37,16,15.9
604,29,4,2.4,32,18,41.9
605,35,4,1.5,29,38,52.3
606,31,3,11.6,18,19,40.3
607,41,4,1.8,35,7,61.1
608,27,1,7.0,23,6,29.6
609,25,4,3.8,22,28,48.5
610,35,4,6.5,38,10,46.5
611,56,5,7.6,17,8,75.8
612,36,4,4.3,0,5,57.9
613,19,5,3.9,14,18,43.5
614,36,4,5.0,18,15,53.3
615,36,5,13.9,36,6,48.1
616,26,2,7.4,15,39,33.7
617,13,2,2.4,8,10,32.7
618,24,2,3.4,11,38,33.5
619,22,3,4.8,7,35,33.8
620,38,5,5.0,23,19,62.7
621,23,1,4.9,11,17,32.5
622,37,3,8.7,13,11,52.2
623,34,5,9.3,21,31,56.4
624,33,5,3.7,12,22,56.5
625,29,3,1.9,34,22,39.6
626,28,3,8.9,9,14,42.1
627,23,2,7.2,6,34,31.8
628,27,3,2.9,24,6,42.3
629,31,3,9.6,33,30,41.1
630,27,5,2.6,25,20,50.9
631,33,5,5.3,3,20,57.6
632,26,2,2.9,37,26,33.3
633,30,5,8.5,18,40,52.7
634,30,3,3.3,15,36,46.7
635,36,5,5.2,34,17,52.6
636,32,3,8.0,30,9,41.8
637,31,3,6.1,21,33,46.6
638,12,1,5.9,2,9,21.5
639,29,5,2.4,8,40,57.7
640,36,5,1.9,11,24,56.4
641,43,3,6.3,14,7,52.8
642,23,2,5.2,5,40,34.0
643,23,2,3.6,1,8,40.2
644,30,4,4.4,19,10,43.9
645,35,5,8.2,40,40,50.9
646,34,5,10.1,2,26,53.6
647,25,4,4.2,16,19,45.6
648,18,2,7.1,15,28,31.7
649,30,4,3.4,0,34,52.4
650,34,4,14.1,26,27,47.0
651,25,2,7.0,27,10,33.2
652,42,4,7.3,4,15,59.0
653,17,1,4.9,36,9,23.0
654,29,3,5.1,25,20,44.3
655,33,4,5.5,17,29,49.8
656,34,3,3.8,10,38,51.7
657,34,4,2.3,36,10,57.6
658,28,3,6.8,18,22,44.2
659,37,4,1.8,31,18,52.0
660,39,1,3.4,37,27,40.3
661,19,2,15.5,10,25,25.1
662,22,2,2.3,39,39,33.1
663,27,3,4.5,1,39,46.4
664,29,5,7.4,13,39,52.9
665,19,3,4.1,4,13,42.4
666,28,4,1.9,27,31,49.9
667,23,3,4.2,0,5,41.9
668,43,5,2.1,7,16,72.4
669,27,2,5.4,11,31,39.2
670,21,2,8.7,39,36,27.8
671,22,1,1.6,28,39,25.6
672,40,4,3.5,4,28,62.9
673,28,4,5.0,11,22,47.2
674,27,2,6.4,21,17,40.2
675,35,4,6.5,26,26,51.8
676,29,2,1.8,5,18,44.6
677,39,4,2.8,28,27,61.1
678,32,5,4.2,21,37,58.0
679,35,2,9.6,21,4,42.7
680,42,5,9.7,19,30,58.9
681,34,4,1.8,27,34,53.8
682,34,5,3.8,10,34,60.5
683,26,2,10.7,29,23,30.5
684,22,3,0.6,11,31,43.1
685,31,5,2.6,18,26,58.1
686,25,3,5.3,2,22,43.0
687,28,2,6.8,39,31,34.5
688,31,5,11.9,10,38,55.5
689,34,4,3.0,9,6,54.9
690,39,5,3.7,16,19,66.9
691,27,3,12.1,25,31,32.3
692,37,4,3.5,1,29,59.9
693,34,2,3.0,33,35,42.8
694,30,5,3.3,35,31,52.8
695,36,5,7.8,12,15,58.8
696,34,1,1.8,27,34,43.2
697,39,3,16.0,2,37,48.6
698,29,5,5.2,28,11,49.5
699,39,2,7.5,22,9,44.2
700,27,2,8.7,12,38,37.5
701,44,4,2.1,10,29,66.0
702,27,4,5.4,3,26,46.8
703,24,4,16.0,32,33,32.6
704,28,2,6.2,2,18,39.9
705,27,4,3.5,18,30,51.1
706,35,3,1.8,9,19,53.5
707,27,4,9.4,36,10,40.5
708,23,4,6.8,7,36,44.0
709,41,4,3.3,5,16,59.7
710,27,3,6.8,4,20,38.4
711,40,3,3.6,19,10,50.2
712,14,2,1.8,22,24,28.0
713,28,2,1.7,28,20,43.2
714,46,5,8.1,5,26,63.6
715,24,3,1.6,30,28,38.8
716,41,5,0.7,34,6,63.6
717,21,2,11.6,37,14,27.8
718,25,2,3.6,39,29,34.5
719,23,5,5.7,11,8,46.1
720,22,4,3.6,18,38,43.3
721,18,1,5.6,23,32,32.0
722,24,4,15.5,32,19,34.0
723,31,2,9.3,13,35,39.0
724,20,3,6.6,15,12,40.7
725,12,2,8.1,37,39,18.6
726,24,4,1.8,9,35,48.5
727,36,3,7.9,25,7,44.3
728,39,5,2.3,6,16,63.0
729,19,2,3.7,38,13,33.3
730,12,1,7.9,7,17,19.0
731,33,4,7.3,19,38,45.5
732,12,3,11.9,6,33,25.4
733,12,1,3.4,31,29,26.4
734,22,2,11.8,34,23,26.1
735,19,2,2.6,26,16,29.0
736,36,5,4.2,39,4,55.8
737,21,1,10.2,15,7,27.5
738,28,4,2.1,30,9,49.0
739,29,1,1.5,14,28,40.5
740,24,2,0.9,21,24,35.3
741,36,3,4.9,29,39,47.5
742,24,2,3.5,39,31,35.2
743,29,3,8.4,37,11,45.7
744,31,3,5.1,18,6,46.5
745,34,4,3.1,28,31,53.5
746,18,2,8.7,19,33,25.3
747,18,3,14.4,19,35,26.3
748,12,1,6.0,39,40,20.2
749,31,3,13.9,23,21,36.6
750,36,5,1.5,11,28,61.1
751,14,2,2.8,17,7,29.4
752,41,4,8.7,27,37,59.5
753,12,4,7.3,17,37,35.3
754,23,1,12.9,32,24,26.9
755,36,5,10.4,16,35,54.7
756,36,5,1.6,17,10,59.4
757,29,2,2.6,12,32,44.6
758,13,2,11.2,26,13,23.9
759,39,5,3.4,14,36,64.1
760,36,5,4.1,15,10,57.4
761,16,1,3.4,29,36,19.2
762,30,3,1.4,37,32,44.2
763,27,4,8.5,33,19,39.3
764,25,2,8.3,10,32,34.3
765,20,1,2.1,0,29,32.6
766,14,1,2.7,11,40,26.1
767,12,1,15.5,14,31,10.3
768,31,3,4.4,24,27,43.4
769,19,1,6.2,9,34,29.2
770,35,3,0.8,21,21,54.2
771,35,5,13.8,27,5,54.2
772,29,2,6.5,27,12,37.5
