shop_id,seats,baristas,distance_center_km,competitors_nearby,owner_age_years,daily_revenue_thousand_kzt
269,23,2,2.1,3,43,254.9
270,10,2,2.6,7,47,181.7
271,46,2,3.2,6,53,311.3
272,24,1,16.0,3,55,160.3
273,34,1,4.0,0,43,245.3
274,46,2,7.3,2,51,316.1
275,54,4,4.9,3,27,384.3
276,15,3,1.8,7,45,162.8
277,65,5,3.4,7,55,468.8
278,40,3,4.4,1,31,399.0
279,34,3,8.7,0,30,309.2
280,56,4,2.3,5,41,431.8
281,54,2,9.0,7,26,297.5
282,41,3,3.2,1,51,328.8
283,48,1,1.9,6,26,278.5
284,27,1,2.4,1,38,243.2
285,39,4,6.6,0,38,377.3
286,40,2,11.3,6,60,236.6
287,53,4,2.9,0,25,435.6
288,34,3,5.1,1,27,299.5
289,34,2,4.2,5,37,270.5
290,10,1,3.3,3,30,138.8
291,61,5,4.6,5,25,450.4
292,23,1,4.8,0,47,243.2
293,34,1,1.2,5,42,226.0
294,48,3,2.2,2,39,401.3
295,39,3,2.2,8,60,305.0
296,67,5,2.1,5,41,514.5
297,62,5,8.3,4,45,461.3
298,10,1,11.0,8,37,98.5
299,40,3,4.4,1,31,362.6
300,37,3,3.3,3,53,293.6
301,19,1,2.6,4,26,192.5
302,28,2,5.8,3,37,231.0
303,32,1,3.9,4,45,250.2
304,46,2,16.0,3,38,241.1
305,54,4,4.2,7,41,397.0
306,46,3,3.8,2,60,374.6
307,49,5,4.9,1,28,414.9
308,68,5,4.5,3,50,471.4
309,26,3,8.3,3,25,223.5
310,35,1,1.9,0,40,255.5
311,40,2,3.4,7,59,276.1
312,41,2,2.8,5,49,324.9
313,48,1,2.9,4,44,304.1
314,46,3,5.3,8,30,310.6
315,62,5,9.7,6,31,460.2
316,27,2,1.8,6,34,252.3
317,47,2,10.1,7,52,290.1
318,54,4,5.4,2,40,418.6
319,29,2,14.4,2,59,214.4
320,57,5,7.2,0,57,474.8
321,29,1,5.1,0,53,230.6
322,35,2,15.6,5,51,247.5
323,30,1,4.1,3,36,245.7
324,48,4,5.4,7,55,387.9
325,61,5,8.9,6,37,488.2
326,31,3,3.2,4,60,312.7
327,66,5,8.4,1,43,509.5
328,28,3,1.7,1,52,269.0
329,37,1,4.4,0,44,301.8
330,52,2,2.1,0,45,412.5
331,43,1,1.8,5,44,302.3
332,54,4,2.1,3,50,422.1
333,10,1,8.6,6,50,80.8
334,43,3,10.5,5,32,304.5
335,23,1,5.2,4,26,219.5
336,54,4,2.7,6,52,420.9
337,22,1,2.8,8,47,148.5
338,47,2,2.8,6,59,332.7
339,29,2,7.6,5,59,228.2
340,59,4,1.7,1,26,507.3
341,22,1,3.2,5,41,157.5
342,27,1,2.9,7,47,189.8
343,35,4,8.6,8,51,245.3
344,42,3,7.1,8,26,260.2
345,27,2,6.4,7,45,181.0
346,22,1,4.9,8,54,148.9
347,43,2,5.1,3,26,298.7
348,40,3,1.5,6,51,349.8
349,27,2,2.5,2,51,265.5
350,41,5,8.3,1,40,363.3
351,50,3,3.2,0,59,460.2
352,24,1,5.3,3,25,203.5
353,20,1,1.4,0,36,229.4
354,46,1,4.0,8,39,321.4
355,44,2,6.5,0,60,353.5
356,48,3,4.8,1,55,368.5
357,36,3,5.2,8,38,275.2
358,40,4,6.1,5,49,324.2
359,50,4,4.4,3,57,402.5
360,29,3,1.2,2,60,320.9
361,48,2,8.3,8,55,310.4
362,41,3,6.5,4,51,324.3
363,44,1,3.8,3,45,292.9
364,35,1,5.7,1,27,250.8
365,70,4,3.4,5,59,473.8
366,37,4,11.9,7,32,268.0
367,42,4,5.3,0,58,410.9
368,40,3,9.2,2,50,268.4
369,35,3,8.1,8,40,216.6
370,33,2,7.3,6,57,267.2
371,41,3,12.0,5,30,275.6
372,17,1,8.4,2,59,154.6
373,54,4,1.1,8,29,397.4
374,68,4,5.1,7,36,431.8
375,65,4,1.1,2,52,521.8
376,51,4,5.8,4,49,406.8
377,55,3,4.0,3,27,382.1
378,64,5,3.0,3,35,543.9
379,70,5,4.0,0,41,544.3
380,48,5,4.2,7,45,370.6
381,44,2,5.6,5,35,253.2
382,14,1,3.8,7,45,78.0
383,39,1,1.4,4,51,316.2
384,37,2,1.5,2,27,322.5
385,53,5,0.6,4,50,474.2
386,14,1,9.1,8,32,97.2
387,67,5,0.6,0,46,563.3
388,27,1,9.7,8,59,113.7
389,67,4,7.1,0,58,454.8
390,46,5,2.2,3,25,398.7
391,31,3,1.1,5,56,275.4
392,45,3,3.1,5,46,337.1
393,45,4,2.5,2,60,365.2
394,27,1,1.1,7,49,187.1
395,54,4,3.7,3,30,402.4
396,24,1,4.0,8,55,130.7
397,45,4,13.2,4,26,305.8
398,36,1,10.0,3,25,202.0
399,62,4,1.6,6,37,415.0
400,34,4,15.1,1,38,272.1
401,38,4,6.3,8,37,255.8
402,39,4,8.6,3,31,346.6
403,45,3,9.9,3,38,348.4
404,41,4,3.0,1,25,409.5
405,30,1,16.0,4,52,168.9
406,34,2,3.3,6,49,274.0
407,40,4,5.0,4,51,325.7
408,36,3,3.8,0,40,331.3
409,61,4,12.5,7,60,366.5
410,23,3,5.1,8,29,171.0
411,63,3,1.6,2,44,496.9
412,31,1,3.9,8,28,199.1
413,54,4,4.8,3,54,424.4
414,39,2,4.4,6,60,303.5
415,67,2,4.3,3,51,453.0
416,57,5,4.3,7,32,373.0
417,15,1,1.2,1,54,159.7
418,31,1,10.3,5,56,209.1
419,58,5,7.2,4,47,423.9
420,44,3,8.3,0,45,330.2
421,38,2,7.3,7,43,303.6
422,41,1,2.6,3,27,289.5
423,42,4,1.2,7,42,342.8
424,44,4,6.2,5,59,382.6
425,45,2,7.9,6,50,310.8
426,35,2,3.9,3,35,286.4
427,38,5,2.4,8,60,346.8
428,49,1,4.4,8,54,335.6
429,17,2,2.5,1,58,206.4
430,15,1,1.9,5,57,113.6
431,23,1,3.3,7,28,152.6
432,36,2,3.0,1,51,386.7
433,36,3,5.2,4,34,293.5
434,51,5,3.8,7,46,438.0
435,26,3,3.6,5,41,202.4
436,60,2,3.0,7,25,382.8
437,59,5,9.7,0,52,478.3
438,68,4,4.6,8,56,464.6
439,41,3,2.0,8,39,330.0
440,48,3,8.0,6,39,329.6
441,18,1,4.2,6,28,167.0
442,54,4,3.5,8,25,378.2
443,46,2,7.4,8,58,280.6
444,44,3,9.5,4,53,328.9
445,32,3,2.5,8,37,263.8
446,38,1,4.3,7,55,264.4
447,33,3,1.1,4,49,311.8
448,52,5,7.2,5,58,398.6
449,37,3,3.9,0,54,371.8
450,54,4,8.9,4,45,414.8
451,55,5,8.9,3,56,402.6
452,51,4,7.9,1,60,410.4
453,45,5,2.9,7,37,363.9
454,21,4,7.4,6,58,193.8
455,26,3,5.8,0,27,269.2
456,53,5,8.2,0,44,494.3
457,25,2,5.0,3,45,231.6
458,33,2,13.9,7,60,188.6
459,53,3,2.4,4,33,381.4
460,17,2,11.9,8,30,150.8
461,49,2,4.4,6,36,368.3
462,36,1,4.7,7,50,244.5
463,43,4,4.3,8,56,338.0
464,38,4,3.4,8,29,293.6
465,35,1,4.0,5,27,249.4
466,40,2,4.9,0,50,257.6
467,53,3,3.2,4,30,349.7
468,10,1,10.3,7,42,63.5
469,21,1,8.5,7,44,160.0
470,45,3,2.1,7,28,373.8
471,41,2,7.4,0,54,329.8
472,45,5,10.3,6,49,338.8
473,28,1,5.6,5,41,159.8
474,29,2,5.1,1,36,303.0
475,62,4,5.1,3,35,447.9
476,44,1,2.7,2,36,319.3
477,12,2,5.6,3,54,191.2
478,37,2,4.5,6,51,225.5
479,15,1,1.9,4,45,182.6
480,52,2,4.5,6,49,315.9
481,50,4,2.9,5,51,378.8
482,35,4,5.5,1,28,313.9
483,36,3,8.6,2,49,321.7
484,56,4,12.1,0,49,429.8
485,45,4,5.4,2,58,354.6
486,29,2,6.2,7,46,223.7
487,61,3,14.7,8,28,322.6
488,44,2,2.9,4,28,318.8
489,45,2,10.6,5,29,319.2
490,24,3,2.0,0,46,232.3
491,47,4,6.5,6,32,345.4
492,19,3,8.7,3,28,247.1
493,59,3,5.9,7,27,393.2
494,56,3,2.3,3,49,395.5
495,10,1,2.4,8,32,59.3
496,45,5,3.1,0,41,407.3
497,53,3,14.2,1,52,337.6
498,36,3,10.2,8,31,209.5
499,50,3,1.2,1,58,436.7
500,61,3,7.9,5,26,391.6
501,35,3,6.5,7,58,246.8
502,22,3,3.7,0,26,250.3
503,45,5,4.9,5,45,392.5
504,42,2,2.4,7,56,308.2
505,67,4,15.4,5,56,411.9
506,10,2,1.5,2,39,152.8
507,33,4,2.0,5,57,336.8
508,33,1,4.6,8,49,201.5
509,45,3,1.0,7,44,325.6
510,21,1,2.9,1,27,224.8
511,38,1,3.7,8,42,269.2
512,48,3,4.8,1,55,354.6
513,26,2,8.5,1,40,225.6
514,31,2,5.0,4,37,267.3
515,16,1,6.8,0,55,137.4
516,10,1,5.3,3,44,119.0
517,29,2,15.1,0,56,208.6
518,28,2,4.2,4,48,258.1
519,43,4,2.6,1,29,388.4
520,46,4,1.4,3,53,416.1
521,45,4,2.0,5,38,380.4
522,77,5,5.9,4,57,529.5
523,46,4,6.6,0,49,392.5
524,48,3,4.2,1,39,407.0
525,24,1,4.7,2,40,154.3
526,42,3,1.2,6,54,334.3
527,47,2,5.7,4,32,330.3
528,23,4,4.7,3,30,261.2
529,16,2,3.7,7,41,120.1
530,40,1,6.5,3,29,223.5
531,42,2,16.0,2,30,288.7
532,35,2,8.0,4,44,292.5
533,42,2,10.3,7,29,272.2
534,34,2,4.8,8,41,236.6
535,29,1,4.8,3,30,227.2
536,36,4,1.2,2,30,331.3
537,56,4,5.4,2,31,443.4
538,37,3,6.9,0,31,330.8
539,43,3,1.7,8,37,320.3
540,52,5,1.7,8,38,448.9
541,44,2,0.9,5,59,360.8
542,28,2,2.0,0,36,318.0
543,18,1,5.9,5,49,136.3
544,38,1,6.3,0,37,300.0
545,36,2,6.4,7,38,261.2
546,10,2,0.8,0,31,199.9
547,34,4,3.7,0,59,330.1
548,50,4,1.3,0,27,450.2
549,40,2,2.5,1,58,342.7
550,32,2,1.0,2,45,260.9
551,41,1,0.8,7,38,270.2
552,48,1,4.2,6,30,290.1
553,52,4,5.8,3,45,378.5
554,38,4,5.9,6,50,350.1
555,10,1,9.5,1,39,135.6
556,64,3,1.9,0,34,510.5
557,35,2,2.4,7,29,228.5
558,34,2,3.1,1,48,292.4
559,43,1,3.2,8,49,277.0
560,46,1,1.1,1,52,375.4
561,43,3,0.7,0,35,410.3
562,40,2,3.2,1,47,280.3
563,69,5,9.7,8,48,489.7
564,46,2,5.2,6,29,336.3
565,18,1,7.3,3,54,146.2
566,20,3,10.8,3,60,187.7
567,12,2,7.8,1,30,163.1
568,47,1,3.0,4,31,287.0
569,48,2,8.2,6,32,311.2
570,15,1,4.0,4,37,164.5
571,48,3,2.2,7,52,347.3
572,34,2,1.8,4,48,305.3
573,48,4,3.4,2,56,420.4
574,47,3,8.0,1,36,373.8
575,41,3,2.9,4,36,312.6
576,50,5,1.5,2,52,453.8
577,59,3,2.7,7,28,412.6
578,35,3,5.9,1,60,357.6
579,51,3,2.5,6,55,407.8
580,42,3,2.5,0,45,337.4
581,40,2,4.1,7,54,251.9
582,17,3,2.2,4,30,235.3
583,26,2,3.9,0,34,275.9
584,33,1,2.4,5,57,277.9
585,21,2,3.7,5,43,236.4
586,20,1,6.9,1,51,187.8
587,10,1,16.0,2,52,91.5
588,34,3,6.9,6,55,266.3
589,25,1,13.0,5,50,146.3
590,33,2,1.1,2,58,316.3
591,52,4,1.5,2,37,493.2
592,26,4,11.0,0,40,267.5
593,13,2,5.6,2,47,188.2
594,21,2,4.1,6,39,159.1
595,49,3,5.5,3,32,355.2
596,33,2,8.2,5,33,218.8
597,38,2,15.4,3,54,281.9
598,10,1,2.6,1,46,160.3
599,32,4,7.9,0,26,316.8
600,63,4,5.1,6,42,419.0
601,46,3,2.4,6,57,342.3
602,48,3,7.6,6,45,321.8
603,28,2,8.8,4,40,194.0
604,57,5,7.6,8,46,399.3
605,60,3,2.6,7,44,404.6
606,11,1,2.9,7,38,117.2
607,35,2,6.5,6,43,251.8
608,61,5,2.0,7,28,454.1
609,55,5,1.7,7,35,437.0
610,17,1,5.0,7,42,155.1
611,23,1,1.5,7,55,210.3
612,32,1,3.4,0,37,260.7
613,48,4,2.8,2,58,381.0
614,50,4,10.6,5,30,340.5
615,10,1,2.6,3,41,167.5
616,31,2,16.0,3,43,181.5
617,48,3,3.7,2,46,359.9
618,31,1,3.7,2,51,268.6
619,64,2,4.7,2,51,471.7
620,28,2,6.9,2,58,218.4
621,20,2,4.4,3,42,201.7
622,36,2,3.1,2,38,293.5
623,56,4,1.6,2,36,433.0
624,10,1,4.8,5,30,102.3
625,25,3,8.4,4,42,210.6
626,23,3,5.4,6,41,206.6
627,40,3,3.6,1,44,367.3
628,58,3,2.4,3,36,452.2
629,33,2,3.1,5,52,247.5
630,45,3,1.1,5,50,359.2
631,30,2,12.9,5,42,209.3
632,56,4,7.6,7,44,366.3
633,47,3,6.7,5,25,372.1
634,46,3,13.8,6,56,265.3
635,49,5,3.7,3,50,459.8
636,25,2,1.4,4,31,214.6
637,30,1,1.0,1,41,272.5
638,32,1,2.5,5,40,254.0
639,10,3,8.7,4,25,166.8
640,35,4,5.5,1,35,337.6
641,60,1,1.5,2,33,366.2
642,33,3,8.1,1,57,325.6
643,36,4,5.3,3,41,328.0
644,48,3,0.9,4,53,341.5
645,53,4,4.8,6,52,392.4
646,59,5,6.6,8,32,423.1
647,54,3,8.0,8,37,345.4
648,45,5,7.0,6,57,354.3
649,63,3,2.0,4,49,421.7
650,47,4,2.2,8,49,383.6
651,45,4,4.4,4,58,365.6
652,27,2,2.4,4,56,223.0
653,22,1,16.0,2,48,144.2
654,38,3,1.4,3,27,343.4
655,38,2,6.6,7,49,264.0
656,41,3,6.9,8,30,278.8
657,44,3,1.0,1,31,350.4
658,49,3,5.4,1,41,401.7
659,29,1,5.7,5,47,206.0
660,43,4,2.9,1,38,407.5
661,30,2,4.0,0,38,315.3
662,30,3,7.2,4,58,264.4
663,40,2,2.6,1,43,344.4
664,41,3,3.7,8,29,316.5
665,60,5,7.1,3,27,481.1
666,24,1,3.6,3,60,177.3
667,52,3,7.5,2,41,393.6
668,50,4,1.9,0,28,431.7
669,30,4,16.0,1,44,284.4
670,14,1,16.0,8,59,62.9
671,45,3,6.8,5,37,321.5
672,60,5,10.9,0,44,435.7
673,27,1,2.1,3,39,240.7
674,22,1,7.5,8,43,154.0
675,39,1,14.2,4,56,218.9
676,37,4,9.1,7,25,273.0
677,41,3,4.6,4,58,338.9
678,36,2,5.3,6,58,264.4
679,23,2,3.7,2,43,209.2
680,17,2,3.0,1,56,193.6
681,41,5,7.9,5,50,333.4
682,46,2,3.5,8,51,297.1
683,48,5,5.7,6,44,389.1
684,46,2,3.6,5,36,250.8
685,48,3,4.0,1,36,405.3
686,47,4,4.3,0,48,425.6
687,13,1,2.3,7,59,157.8
688,10,1,5.1,8,48,99.0
689,41,2,2.6,6,41,330.8
690,25,1,4.7,3,54,245.3
691,61,5,1.0,2,40,471.3
692,41,4,5.2,7,59,307.7
693,30,1,4.5,8,37,214.8
694,59,5,3.6,7,34,473.3
695,48,2,8.3,6,25,282.8
696,23,3,10.8,8,25,149.0
697,55,3,6.3,8,41,355.6
698,42,3,2.8,3,45,362.7
699,46,3,0.8,1,45,389.6
700,55,4,7.4,0,38,430.9
701,41,3,6.9,2,31,343.1
702,37,4,2.0,6,51,295.8
703,29,3,2.5,1,38,294.6
704,46,5,1.0,5,30,374.4
705,36,3,3.2,8,28,275.4
706,13,1,1.6,5,29,187.7
707,37,3,1.7,6,52,308.4
708,27,2,6.3,7,37,218.7
709,55,3,15.2,1,30,328.9
710,59,4,3.9,4,52,447.7
711,39,3,7.0,4,53,290.0
712,51,3,5.3,1,49,399.4
713,29,2,3.6,2,42,269.3
714,53,3,2.7,2,44,429.1
715,28,1,2.1,8,32,249.2
716,48,1,7.7,5,29,260.6
717,10,2,5.8,7,37,124.3
718,24,2,4.0,6,53,184.9
719,39,2,5.2,6,53,241.0
720,40,3,5.3,3,46,331.5
721,47,4,4.5,6,38,345.1
722,25,1,4.0,3,60,207.7
723,23,1,6.2,7,59,132.2
724,53,3,10.4,3,43,375.8
725,42,4,3.2,0,37,419.3
726,38,2,9.9,8,34,181.1
727,44,2,5.9,4,47,333.7
728,43,4,2.3,7,35,330.0
729,40,3,4.9,4,31,322.1
730,28,1,0.6,4,52,223.0
731,36,1,5.0,5,45,288.7
732,50,1,8.9,1,58,317.8
733,50,2,4.8,7,32,287.0
734,28,1,0.7,8,29,224.5
735,25,3,4.0,5,57,274.6
736,22,2,2.7,0,50,259.5
737,20,1,9.8,1,51,187.9
738,50,3,3.0,8,27,347.4
739,59,2,2.8,6,38,366.9
740,43,4,3.3,8,56,300.7
741,50,3,16.0,0,32,383.4
742,32,1,2.5,8,43,187.2
743,39,1,2.5,5,48,298.1
744,37,3,9.6,1,49,315.9
745,67,4,4.7,2,45,510.0
746,46,3,2.4,6,57,350.0
747,40,2,1.1,2,25,337.9
748,43,1,5.1,6,48,256.6
749,18,1,0.8,2,51,185.6
750,42,2,5.6,5,57,275.0
751,28,3,3.6,7,42,221.6
752,65,4,3.4,3,49,518.1
753,29,4,6.2,7,57,258.7
754,36,5,6.7,2,60,343.7
755,44,4,1.9,8,57,323.8
756,64,5,3.6,5,48,512.4
757,50,5,9.4,5,42,395.8
758,25,2,8.7,7,46,191.4
759,63,5,2.6,0,49,481.2
760,58,2,8.1,5,30,412.5
761,23,1,2.1,7,33,157.0
762,27,2,8.1,0,46,212.5
763,37,2,6.4,6,36,235.3
764,38,2,4.3,8,59,203.4
765,12,1,3.7,7,37,66.7
766,40,2,4.6,3,59,325.1
767,58,5,2.4,3,27,487.2
768,13,3,3.0,1,40,211.7
769,32,2,6.7,8,32,196.3
770,59,5,3.5,0,57,482.4
771,45,4,4.6,7,59,359.5
772,47,3,3.2,6,53,363.4
