household_id,home_area_m2,residents,appliances,heating_hours_per_day,cooling_hours_per_day,insulation_score,distance_center_km,owner_age_years,monthly_electricity_kwh
193,235,3,10,4.5,6.8,1,15.7,64,754.8
194,199,2,21,3.7,1.9,8,17.2,32,433.7
195,185,6,17,3.6,8.6,3,20.7,60,719.4
196,132,5,6,1.6,5.3,1,8.1,51,554.0
197,185,5,17,4.4,0.9,1,6.2,72,680.6
198,62,1,18,11.0,5.5,10,7.5,65,369.8
199,196,1,7,4.9,5.9,4,23.5,26,484.8
200,210,1,13,0.3,5.2,7,18.5,70,417.0
201,192,3,27,2.3,2.4,2,20.0,50,670.3
202,250,2,9,3.6,2.0,1,5.9,56,630.3
203,65,4,15,9.0,4.2,2,10.3,66,492.4
204,145,3,15,7.2,3.2,6,17.7,54,551.3
205,55,6,14,11.2,1.0,4,9.6,49,594.6
206,107,4,27,10.7,1.0,8,8.5,67,578.4
207,116,6,15,11.9,2.5,2,14.3,26,706.0
208,123,3,14,10.0,1.6,8,13.3,43,453.6
209,217,1,20,4.8,7.2,5,2.4,27,522.9
210,205,7,6,6.7,7.8,2,16.7,41,835.7
211,173,5,10,11.2,0.3,2,15.3,39,681.1
212,78,4,6,4.0,4.2,7,16.3,27,379.7
213,62,4,20,0.3,4.5,9,7.7,60,320.1
214,71,7,22,5.6,4.3,7,14.7,56,570.0
215,45,5,17,8.5,10.0,3,14.9,65,624.2
216,79,7,30,6.5,7.4,10,20.2,29,662.8
217,202,6,10,7.6,8.3,4,19.6,26,761.9
218,219,4,21,4.5,9.7,4,2.8,41,750.6
219,155,3,29,10.1,7.7,4,8.7,24,758.4
220,193,3,24,2.0,0.0,6,2.0,60,542.2
221,217,7,14,4.2,4.0,2,22.4,40,734.7
222,240,2,11,8.5,5.4,5,21.2,64,704.4
223,228,2,15,11.9,3.2,8,4.8,64,678.3
224,235,1,29,11.6,7.4,1,7.0,69,838.9
225,36,1,20,6.3,8.8,10,18.2,65,225.6
226,155,3,23,1.8,1.8,5,21.8,67,516.9
227,193,5,26,10.0,4.6,1,16.2,64,826.1
228,89,3,26,10.9,0.0,4,19.4,39,555.6
229,83,5,7,4.6,0.5,5,5.8,62,442.2
230,173,4,14,4.5,0.2,3,6.3,59,551.8
231,217,3,29,9.5,2.0,10,7.4,49,579.6
232,219,4,13,3.3,4.2,1,22.1,62,654.0
233,154,6,12,8.7,0.3,6,5.7,58,614.9
234,215,6,13,6.8,3.0,5,6.6,34,805.3
235,180,7,20,6.2,0.4,10,5.6,53,619.9
236,40,7,15,4.0,5.4,5,21.1,37,453.2
237,84,4,14,7.5,3.9,1,7.5,25,494.6
238,248,3,10,3.4,5.7,7,14.2,33,621.3
239,132,1,10,9.2,0.5,4,9.6,53,358.2
240,131,7,17,7.9,2.9,4,14.0,68,618.7
241,147,4,20,8.5,9.7,10,12.8,55,620.6
242,85,3,19,6.0,6.4,6,0.7,24,443.9
243,131,2,28,1.2,6.4,9,22.3,25,348.3
244,95,5,22,0.3,8.5,7,21.8,74,441.6
245,145,3,9,5.2,3.5,1,2.3,28,585.8
246,237,6,5,11.5,0.7,6,21.0,66,750.2
247,80,1,19,1.4,2.7,10,11.3,42,225.4
248,100,5,26,2.3,9.1,5,15.0,22,557.0
249,120,2,9,4.6,9.1,3,2.5,61,448.6
250,122,7,16,11.0,8.7,7,13.8,57,720.2
251,209,3,14,3.7,4.3,8,7.9,57,573.7
252,63,1,29,11.5,2.1,5,2.6,73,524.6
253,201,5,7,1.6,1.2,6,19.8,70,512.1
254,135,7,6,9.7,5.5,7,1.0,33,631.2
255,119,2,9,11.2,1.2,5,16.1,37,432.5
256,174,3,19,8.7,8.8,6,14.5,71,617.6
257,158,7,23,9.1,9.6,10,16.0,54,737.6
258,136,3,17,8.6,1.0,4,20.4,60,531.2
259,48,6,21,0.6,2.4,7,2.2,41,380.1
260,104,1,10,6.7,0.9,3,22.4,23,350.0
261,249,3,6,5.2,3.8,9,1.6,28,502.5
262,163,5,15,9.8,5.6,9,6.1,29,569.9
263,200,7,25,11.2,7.7,9,4.5,34,808.1
264,118,1,12,2.2,2.5,1,16.4,29,381.4
265,164,6,24,4.2,0.3,6,6.4,60,612.8
266,112,3,27,11.2,3.6,8,5.5,24,511.3
267,145,6,30,4.9,1.8,8,17.1,45,590.0
268,105,1,22,6.0,3.9,10,2.3,40,297.2
269,102,7,19,11.7,5.1,2,12.4,63,761.5
270,132,1,24,5.4,3.4,10,2.6,64,381.1
271,160,2,25,8.4,3.1,3,20.3,69,595.6
272,133,2,21,10.8,1.3,3,4.4,27,640.7
273,143,4,14,9.8,3.4,4,11.4,27,626.9
274,243,7,9,10.3,9.3,6,6.2,62,921.5
275,170,4,16,11.6,6.7,9,2.4,35,652.9
276,76,4,14,9.5,5.2,6,10.6,23,476.6
277,131,6,24,10.7,9.2,10,21.5,35,655.7
278,218,4,7,5.5,4.7,1,15.0,51,763.9
279,222,4,21,2.0,4.9,5,10.7,47,611.2
280,202,6,24,2.1,3.4,7,4.6,60,623.3
281,41,4,7,0.2,10.0,1,13.2,41,420.9
282,208,4,5,11.1,7.6,3,19.5,47,758.2
283,201,1,29,2.0,9.2,7,7.1,41,506.1
284,236,4,25,4.6,2.8,7,3.4,61,668.8
285,185,2,16,9.5,3.2,7,24.4,50,586.3
286,79,2,27,9.9,4.1,9,16.3,37,409.4
287,241,3,18,3.6,8.8,7,11.6,41,573.3
288,247,3,25,9.3,5.4,10,8.7,59,732.9
289,98,5,9,8.0,0.1,4,13.6,30,444.6
290,111,1,20,9.3,1.6,10,2.2,26,334.9
291,244,5,8,9.0,4.5,4,12.2,51,832.2
292,250,6,23,11.7,6.9,10,13.0,75,813.6
293,236,1,19,1.9,2.9,4,6.5,24,541.5
294,97,2,28,1.9,4.3,1,3.5,75,464.4
295,235,2,21,10.5,9.6,9,22.2,28,754.7
296,93,3,18,6.1,2.4,4,1.5,30,432.7
297,104,6,9,8.7,8.0,2,15.7,61,633.4
298,138,4,6,1.7,5.0,7,20.6,27,486.8
299,237,7,11,9.7,7.6,5,23.4,33,847.5
300,162,5,13,9.9,8.2,4,19.5,56,716.2
301,140,2,20,1.5,9.7,9,23.3,22,453.3
302,52,7,15,9.5,8.9,3,22.8,71,696.2
303,249,3,18,4.3,3.8,1,17.5,68,776.2
304,83,5,21,8.3,7.4,6,6.1,46,609.3
305,132,5,28,1.0,2.8,2,11.7,28,600.8
306,177,2,26,0.5,9.2,4,4.4,71,588.2
307,79,1,12,10.1,8.2,6,17.6,43,391.7
308,176,5,19,10.6,8.1,7,10.5,27,707.6
309,146,3,28,2.4,4.3,9,0.6,66,467.5
310,158,2,16,7.7,9.5,6,2.5,61,556.8
311,47,5,28,5.4,8.9,8,17.9,56,517.1
312,154,2,5,8.9,0.2,1,9.9,36,455.1
313,220,7,5,10.3,1.8,7,7.7,47,723.7
314,193,6,21,1.3,1.3,2,7.4,28,664.6
315,85,2,19,2.2,9.8,1,10.0,67,567.2
316,230,4,27,6.9,4.5,7,19.9,47,741.0
317,208,6,9,5.8,7.4,9,9.3,23,622.9
318,88,7,18,4.9,4.6,10,10.4,70,488.9
319,171,5,27,4.3,1.5,3,6.2,32,712.2
320,150,4,23,5.0,6.5,10,2.5,44,552.3
321,119,3,10,8.8,6.8,6,5.8,64,454.2
322,132,1,25,2.8,4.5,7,24.0,31,427.0
323,103,6,9,3.9,3.1,10,11.6,54,431.3
324,228,1,10,7.2,0.3,2,2.3,70,569.1
325,180,1,27,7.7,0.3,3,0.7,66,613.0
326,120,7,26,4.9,0.4,4,12.9,40,707.6
327,81,6,13,10.9,2.8,7,13.0,73,512.5
328,213,2,8,9.3,4.6,1,12.8,39,566.7
329,189,7,23,6.9,4.3,9,6.7,46,792.3
330,230,2,27,1.6,7.3,2,23.9,62,759.1
331,82,2,24,2.4,6.5,4,16.8,35,448.3
332,180,2,27,4.8,3.7,4,9.7,71,577.8
333,87,2,6,7.6,3.5,5,1.7,64,340.9
334,228,4,12,6.9,9.2,1,8.8,26,816.2
335,246,3,16,0.9,7.5,2,24.3,25,794.1
336,204,5,15,9.2,9.0,4,0.7,36,807.8
337,53,5,7,6.2,1.9,5,5.4,72,373.1
338,200,5,28,8.9,3.1,8,11.9,47,631.0
339,141,3,30,1.8,2.3,3,15.6,59,552.7
340,69,5,28,10.7,7.6,10,17.1,72,551.3
341,62,3,7,8.9,0.5,4,10.1,74,339.5
342,57,1,20,2.0,8.4,9,1.9,26,254.3
343,57,2,14,11.7,1.5,7,10.6,35,395.0
344,84,5,12,7.5,0.5,1,15.6,41,574.9
345,159,7,30,4.7,5.0,9,12.3,50,640.8
346,132,4,28,11.4,6.7,10,22.2,28,573.0
347,79,5,10,8.8,9.6,6,16.7,60,558.1
348,122,4,15,6.0,0.8,5,4.6,62,428.7
349,180,2,11,11.4,5.1,10,3.0,36,536.3
350,65,5,8,7.5,4.4,1,21.2,52,571.7
351,61,6,12,3.7,1.6,6,2.3,63,394.8
352,157,3,24,5.0,0.8,8,7.4,55,389.4
353,92,7,24,2.2,0.4,4,4.1,56,542.3
354,156,3,15,5.3,8.0,2,17.0,31,608.2
355,117,2,14,8.7,2.0,2,18.1,68,548.2
356,60,5,27,5.4,3.0,2,22.4,32,606.7
357,233,7,10,10.0,6.6,8,13.5,41,678.2
358,76,4,11,10.4,9.2,6,0.6,73,510.4
359,181,6,11,0.6,3.6,6,19.4,46,576.8
360,209,7,30,3.6,5.0,9,17.8,22,727.6
361,134,6,18,7.4,4.9,9,16.9,40,619.0
362,80,4,18,4.1,3.6,5,1.1,75,470.1
363,204,7,20,6.5,7.6,6,22.9,55,816.8
364,178,6,17,7.0,0.9,5,20.1,60,675.3
365,162,6,14,1.8,8.1,8,21.8,74,548.8
366,205,3,11,11.9,8.2,3,18.8,72,733.0
367,181,1,16,2.9,8.5,7,10.4,58,418.3
368,80,1,8,7.9,4.2,7,1.5,72,239.3
369,129,1,24,5.2,0.3,7,13.1,42,330.7
370,48,6,26,3.0,7.0,5,24.2,41,478.0
371,193,4,7,6.5,1.0,10,10.4,27,441.4
372,222,1,27,6.3,2.2,7,11.5,50,657.0
373,46,4,28,3.0,3.7,6,21.2,45,361.3
374,216,1,20,5.8,8.5,2,10.0,75,731.0
375,233,5,5,7.9,7.6,9,10.6,31,667.8
376,69,2,18,3.5,0.5,1,4.3,23,346.7
377,215,4,18,4.9,5.1,3,16.4,55,724.3
378,245,4,12,9.1,3.4,8,20.0,66,709.4
379,37,1,13,9.4,0.0,5,20.9,65,312.8
380,211,3,25,0.1,7.9,1,16.4,59,745.9
381,220,4,27,7.5,3.6,7,20.4,59,757.5
382,193,2,16,8.7,9.9,9,18.0,45,572.9
383,77,4,11,4.9,0.9,4,1.9,25,410.9
384,101,2,24,9.2,8.7,1,11.9,72,651.9
385,172,7,7,1.3,4.7,2,23.8,52,586.8
386,107,5,12,2.8,1.8,9,2.2,28,318.3
387,104,3,11,6.1,3.4,7,11.1,44,455.9
388,104,4,12,3.2,9.3,5,5.7,26,504.8
389,228,2,20,2.3,1.0,7,20.8,40,449.9
390,84,1,21,10.8,9.1,1,17.5,75,620.1
391,242,5,24,8.8,7.9,5,20.3,36,939.1
392,156,4,18,3.2,5.4,10,5.5,36,501.5
393,125,3,20,0.8,3.7,8,13.3,61,294.7
394,208,4,26,0.6,6.4,1,16.8,28,740.3
395,243,7,5,3.9,5.1,3,18.8,37,815.4
396,138,3,9,1.2,6.6,4,7.7,53,501.1
397,214,1,21,6.2,6.3,8,8.1,44,576.3
398,107,5,30,6.6,5.8,5,22.9,65,625.6
399,129,4,25,11.4,1.5,5,4.2,40,644.2
400,199,2,7,3.8,0.5,8,9.7,27,364.6
401,177,1,7,6.1,3.6,8,23.7,43,304.4
402,140,7,12,3.8,9.8,3,3.5,49,741.2
403,121,6,11,2.6,4.0,6,6.9,60,479.4
404,97,5,28,6.1,4.7,8,6.3,60,537.5
405,218,6,16,1.9,1.3,3,2.9,27,685.5
406,233,1,10,8.9,8.8,3,24.2,27,605.3
407,142,7,16,5.2,7.8,10,5.0,48,593.2
408,234,4,13,11.8,6.1,7,2.6,38,674.7
409,227,4,28,4.2,1.7,9,24.3,38,646.9
410,144,3,26,9.3,7.4,9,3.2,48,603.1
411,163,7,8,4.7,5.7,5,11.5,67,622.3
412,125,5,6,3.8,9.7,9,4.0,34,426.3
413,68,1,20,10.5,9.9,5,1.5,48,399.1
414,78,2,12,10.6,8.7,3,12.2,27,510.4
415,198,7,13,5.9,2.9,3,15.4,28,697.4
416,173,6,23,1.0,5.2,1,21.8,37,779.1
417,243,5,9,0.0,1.3,6,20.7,27,518.2
418,154,5,10,11.3,5.7,8,5.1,72,594.4
419,209,5,16,10.6,2.8,10,6.1,58,663.7
420,42,4,27,12.0,1.7,10,16.7,30,521.5
421,228,3,24,11.8,2.9,9,11.6,56,701.8
422,241,3,26,8.1,2.5,6,21.9,62,769.4
423,45,6,28,0.2,4.3,5,7.6,35,460.7
424,54,4,27,2.8,2.1,6,16.2,45,313.9
425,60,5,10,8.0,1.1,9,0.9,47,331.8
426,98,2,11,6.0,2.6,8,6.7,59,313.3
427,130,3,13,11.5,2.9,8,11.5,41,559.6
428,147,1,19,8.2,8.2,9,14.7,54,512.3
429,250,1,19,8.3,1.7,2,22.4,71,667.9
430,49,2,7,3.7,2.3,8,4.8,58,202.7
431,211,7,8,3.4,7.6,1,14.3,34,789.1
432,237,5,16,10.5,4.7,2,6.3,75,895.1
433,221,2,28,11.1,7.0,4,6.3,62,737.5
434,192,1,28,1.5,4.7,8,6.4,60,473.2
435,95,7,14,1.6,5.7,5,12.3,64,580.1
436,177,7,6,1.0,8.8,9,13.9,33,567.7
437,37,1,14,10.8,7.2,3,7.6,51,434.1
438,182,2,17,8.6,4.8,3,12.7,70,675.2
439,249,7,22,1.9,6.2,7,7.6,37,670.7
440,236,4,17,8.1,1.3,2,6.9,67,672.7
441,117,6,26,7.0,6.1,10,14.4,35,652.6
442,229,7,16,10.5,7.4,10,24.3,30,789.5
443,97,7,20,2.1,7.2,2,8.9,36,637.0
444,51,3,25,10.8,8.3,10,18.9,62,467.8
445,203,4,15,6.6,8.8,8,19.3,63,645.0
446,75,5,25,7.4,6.6,8,11.5,59,547.2
447,167,6,16,1.6,7.8,4,19.9,70,676.9
448,63,6,14,7.9,0.7,1,23.9,52,512.8
449,172,6,10,6.7,7.9,5,20.2,70,706.6
450,97,7,9,11.1,9.2,7,6.3,36,573.5
451,240,5,9,5.6,9.8,10,12.6,31,651.3
452,184,5,12,2.8,6.2,10,16.9,29,528.6
453,42,4,27,5.1,0.8,10,16.7,47,265.8
454,112,3,11,5.1,4.3,5,13.2,34,445.5
455,184,6,14,10.0,1.9,2,4.7,44,715.3
456,161,5,8,6.6,3.5,3,5.6,27,551.5
457,242,4,20,4.9,3.9,1,17.1,65,746.0
458,166,1,21,0.5,7.9,2,18.5,35,531.8
459,234,5,19,10.9,7.4,4,15.9,24,879.2
460,138,3,26,9.9,2.6,4,16.4,55,627.9
461,210,1,6,7.6,4.8,5,12.3,51,548.6
462,128,2,26,4.6,1.0,6,2.5,69,509.2
463,235,3,7,4.9,9.5,9,10.9,47,587.4
464,210,2,15,7.0,8.1,2,13.1,55,630.3
465,85,1,22,1.8,2.3,10,10.3,28,177.7
466,231,1,18,7.9,4.2,9,10.3,46,558.2
467,61,5,7,7.4,9.6,2,9.3,32,570.5
468,196,4,27,9.7,6.3,2,17.7,74,829.6
469,124,6,16,9.7,2.1,5,5.0,38,597.3
470,145,2,29,5.3,9.3,5,2.8,45,611.8
471,183,2,23,0.6,5.3,9,16.7,49,377.8
472,64,4,22,1.6,0.9,6,1.3,70,278.2
473,75,4,29,4.3,8.0,6,0.7,45,527.2
474,61,1,24,2.8,3.5,10,7.7,57,176.6
475,246,6,21,10.4,9.4,9,1.3,73,889.6
476,167,1,17,7.4,2.2,2,13.3,34,589.5
477,161,4,11,2.1,1.2,4,18.4,25,412.5
478,170,7,23,0.9,8.4,3,7.9,60,690.5
479,67,3,20,9.6,7.0,10,14.3,32,401.8
480,59,4,5,9.2,4.1,2,16.2,29,522.3
481,105,6,9,9.7,7.4,4,17.7,33,613.1
482,231,2,12,5.2,2.1,7,12.5,45,527.1
483,145,7,5,2.0,4.6,5,16.2,41,605.1
484,172,6,6,4.5,5.4,9,7.8,69,446.5
485,196,6,22,0.7,2.6,7,5.3,26,562.9
486,61,7,21,1.8,9.8,8,18.8,31,536.9
487,169,4,13,5.2,3.2,2,10.8,52,560.3
488,226,1,8,1.3,4.2,7,22.4,65,465.4
489,213,1,11,9.1,2.7,4,13.8,44,638.6
490,227,1,17,2.1,4.6,3,15.6,70,567.7
491,156,7,26,1.1,2.5,9,17.8,31,558.7
492,174,3,28,6.9,3.0,10,19.1,36,485.0
493,124,3,30,2.2,1.0,1,11.4,68,549.4
494,208,4,23,5.5,5.8,7,8.4,42,658.9
