batch_id,material_kg,machine_hours,worker_hours,energy_kwh,units_produced,defect_rate_percent,supervisor_age_years,factory_age_years,production_cost_thousand_kzt
132,347.2,60.5,157.7,1846.8,543,2.9,51,29,2174.1
133,1067.3,15.0,59.1,1184.6,552,2.6,36,28,1836.3
134,518.5,52.7,137.8,2411.4,635,5.9,27,8,2244.3
135,483.9,27.6,118.8,1719.7,1673,3.5,45,10,2069.5
136,600.7,17.0,73.6,932.8,1217,2.5,56,31,1740.2
137,911.9,62.9,132.1,2056.2,742,6.3,62,8,2685.9
138,715.4,16.9,99.0,1336.2,2162,2.7,34,11,2142.5
139,339.5,50.9,39.5,1515.0,958,3.5,50,4,1626.2
140,557.3,61.8,97.3,1696.9,2006,0.7,27,10,2175.0
141,815.8,4.6,94.4,2601.6,1886,4.7,36,3,2564.6
142,336.9,24.0,73.1,2213.9,998,4.7,28,3,1811.5
143,230.4,42.9,127.1,178.8,1466,1.4,33,40,1714.2
144,698.3,69.4,47.1,2201.9,2481,4.5,40,38,2577.8
145,1059.9,59.0,49.2,369.9,1515,1.0,29,16,2184.9
146,1072.1,35.5,159.2,530.3,1235,3.6,64,30,2655.4
147,594.3,74.8,39.9,1494.2,1299,2.0,54,3,1950.5
148,306.7,22.2,142.2,241.6,1048,5.2,51,23,1748.1
149,549.6,7.0,37.1,1139.2,1076,0.9,40,3,1506.0
150,582.1,29.8,120.2,681.4,1629,7.9,28,8,2275.4
151,933.0,25.6,120.3,260.3,663,5.0,32,29,2097.6
152,833.5,70.0,138.0,2692.9,1406,0.4,29,3,2799.5
153,877.7,72.0,13.5,2181.3,1808,1.0,46,3,2321.5
154,830.8,23.2,72.1,2821.4,410,5.2,60,12,2149.1
155,1110.1,8.1,141.5,548.2,371,7.0,31,24,2319.1
156,387.1,55.6,133.9,1432.3,624,1.8,40,10,1953.2
157,164.3,70.4,105.2,2741.3,1729,2.2,35,21,2315.4
158,451.3,73.9,77.6,2650.9,945,4.6,34,36,2331.3
159,370.2,19.9,146.0,240.7,1749,7.1,35,3,1849.0
160,808.1,66.2,10.1,217.0,1525,7.6,57,30,2035.5
161,766.0,54.9,50.8,2021.8,550,2.2,44,39,2106.6
162,914.4,55.0,86.9,1078.6,2331,6.5,32,35,2688.7
163,996.3,21.8,104.3,1953.9,1414,2.7,53,23,2556.1
164,713.7,50.9,28.8,926.0,2253,5.7,58,34,1978.0
165,419.2,18.4,35.6,462.7,871,6.4,30,2,1422.9
166,567.8,5.9,99.3,607.9,2044,6.8,48,24,1983.9
167,341.3,72.6,20.4,322.9,1678,3.5,26,12,1694.8
168,643.2,19.5,88.9,1970.0,324,1.9,31,26,1700.0
169,219.4,53.3,79.3,2577.7,368,3.9,27,36,1872.4
170,1027.6,79.4,33.2,334.0,534,4.4,36,36,2135.7
171,527.3,75.0,44.9,1005.0,1900,4.6,25,21,2248.0
172,1167.0,35.5,17.4,1558.6,2219,7.7,61,20,2490.5
173,803.2,44.9,38.4,2662.8,1935,2.7,36,31,2343.6
174,244.1,33.2,94.7,1076.8,345,0.6,63,40,1471.6
175,770.2,27.8,28.5,2952.8,638,2.8,58,13,1898.2
176,1025.6,5.4,69.1,617.9,2470,1.5,41,40,1936.3
177,853.9,20.1,126.0,460.8,2447,2.3,39,36,2360.7
178,696.9,49.3,138.5,2733.4,978,4.9,54,10,2551.3
179,805.6,17.7,10.8,2575.4,1015,4.2,49,20,1855.7
180,282.5,50.5,101.8,2397.7,1673,1.7,40,21,2066.1
181,553.4,63.9,142.6,356.8,328,5.2,50,31,2379.1
182,118.2,17.4,113.0,205.2,1625,4.4,34,21,1491.1
183,527.1,43.6,17.1,2126.1,1397,0.7,56,40,1828.1
184,345.8,18.6,25.0,313.6,2385,0.4,30,1,1270.6
185,580.4,17.9,11.1,722.7,1126,7.0,51,4,1579.4
186,315.8,14.5,122.3,534.4,797,1.6,65,32,1349.4
187,1103.3,28.4,30.1,1033.2,438,4.2,60,10,1822.9
188,530.2,66.2,31.9,1492.0,2234,2.2,31,32,2080.8
189,151.1,44.2,117.1,2461.0,1505,7.0,49,19,2240.8
190,335.6,76.8,16.1,987.5,110,5.1,35,9,1652.0
191,399.9,57.9,123.3,2036.2,1850,6.7,57,14,2614.7
192,219.7,24.3,83.4,180.4,2297,3.9,41,23,1636.9
193,677.5,53.2,108.1,1103.0,1077,6.3,64,4,2184.1
194,643.4,50.0,80.5,2409.2,989,5.4,42,29,2258.1
195,722.0,11.9,142.9,2708.2,720,3.4,46,38,2037.4
196,367.8,59.0,28.8,875.7,1162,6.2,57,8,1599.9
197,920.4,13.3,20.0,1512.7,2407,5.1,53,34,1820.3
198,956.2,64.4,108.2,893.5,347,5.0,43,37,2549.0
199,914.2,25.9,45.6,1229.6,814,1.2,55,8,1634.7
200,597.5,10.0,44.9,1342.5,2375,1.9,27,28,1632.5
201,287.8,18.8,32.9,179.5,1151,5.1,51,3,1412.5
202,892.8,16.4,159.6,1792.4,1605,7.0,35,17,2649.5
203,978.5,54.2,70.8,1733.6,159,5.3,49,22,2160.1
204,173.1,50.4,142.9,1959.3,353,6.7,31,10,1989.3
205,833.8,50.7,61.9,1962.1,1138,4.4,65,9,2246.0
206,1179.4,72.1,132.0,2950.3,560,7.7,54,21,3315.1
207,1008.8,41.1,16.5,2058.3,1238,4.6,46,19,2170.5
208,212.6,21.4,41.2,1666.3,852,4.1,33,7,1318.2
209,676.9,17.2,78.3,2440.8,2331,4.1,58,18,2165.7
210,926.3,27.2,43.7,2184.0,401,0.6,51,30,1779.8
211,1176.0,22.8,59.0,365.4,2123,7.9,50,37,2380.1
212,231.5,28.4,92.9,1141.0,119,4.2,53,37,1404.7
213,239.2,40.8,51.0,1814.7,842,7.8,28,25,1752.9
214,172.4,51.0,70.3,1695.7,2251,2.8,59,27,1976.2
215,1091.3,38.2,36.4,2812.0,1474,4.9,30,32,2318.4
216,831.5,20.8,120.0,2208.7,807,0.6,43,22,2177.1
217,249.6,29.6,28.5,2644.3,1928,6.3,62,12,1830.1
218,104.6,60.9,116.3,804.4,1612,0.2,27,17,1770.5
219,847.5,72.5,109.7,484.1,1584,2.2,58,25,2509.2
220,369.0,32.4,44.9,436.3,447,4.8,46,2,1217.4
221,301.0,23.2,60.9,904.8,1464,4.0,56,3,1419.8
222,777.0,68.9,65.5,842.8,1063,3.0,29,25,2269.9
223,985.6,23.7,131.6,2215.6,2464,4.3,46,1,2794.1
224,118.7,14.3,67.4,2346.3,1721,3.6,40,40,1483.2
225,498.3,22.2,36.4,2610.2,1949,4.4,52,29,2028.9
226,453.8,43.8,109.9,541.5,1011,1.1,63,36,1623.4
227,1199.8,4.6,25.2,363.4,1310,3.2,32,26,1898.9
228,683.0,28.5,88.0,748.2,746,3.2,42,31,1820.3
229,671.7,25.0,74.5,241.9,1383,5.1,34,40,1981.4
230,480.1,68.2,18.6,374.7,1236,4.2,41,27,1790.7
231,324.3,37.0,122.3,2057.3,1126,4.8,60,3,2189.9
232,986.8,43.8,149.1,1293.2,124,3.5,48,18,2514.5
233,128.6,20.4,83.1,1804.4,703,6.6,52,21,1673.6
234,669.1,29.3,132.3,201.3,842,3.0,26,35,1876.8
235,1149.8,4.1,54.8,887.5,759,2.9,53,22,1849.9
236,829.7,33.6,112.0,596.0,1626,7.2,54,34,2283.2
237,784.7,50.4,131.1,2499.1,1886,0.5,42,37,2693.3
238,923.1,57.8,34.1,2035.2,874,2.1,27,25,2240.1
239,571.0,4.8,52.3,1020.2,762,6.0,40,2,1446.2
240,679.5,54.6,36.2,2192.1,2347,1.8,64,39,2028.2
241,169.1,60.0,86.0,1349.4,1683,1.8,55,15,1867.0
242,1113.8,10.4,124.4,1197.1,1753,6.8,52,5,2583.3
243,1039.0,4.8,98.7,1502.4,1573,6.5,49,12,2294.3
244,1019.2,61.7,149.7,2254.0,2459,6.3,28,33,3147.8
245,520.5,78.6,101.0,1789.5,2115,4.2,30,37,2569.2
246,171.3,62.7,57.5,2588.6,459,5.7,56,23,1868.6
247,196.3,66.3,84.2,1542.5,2140,3.7,55,33,2076.3
248,1093.9,46.3,88.1,2912.5,896,2.1,36,23,2597.3
249,531.5,23.9,157.8,2117.1,1915,6.3,61,20,2455.0
250,924.6,30.7,154.2,2131.4,1600,5.4,65,1,2744.8
251,401.1,23.0,141.2,2057.4,1527,6.1,36,30,2310.5
252,483.9,26.7,106.3,2281.2,2132,1.0,48,40,2206.7
253,418.3,66.6,134.9,880.9,2100,5.0,53,15,2390.2
254,537.0,46.9,117.7,1906.2,103,2.8,52,17,2030.4
255,632.7,71.7,66.9,908.4,635,3.7,53,12,2098.7
256,659.9,47.4,45.3,1626.6,1490,5.7,28,25,1922.1
257,809.7,9.6,27.6,2766.9,324,0.2,46,19,1355.9
258,1009.3,52.9,92.3,2019.3,1419,3.4,46,23,2682.0
259,719.5,74.9,37.2,287.6,350,5.7,32,15,1892.7
260,1076.1,35.5,35.9,2891.5,1122,2.8,43,7,2393.1
261,286.4,16.3,52.2,2208.0,1442,2.6,30,20,1595.3
262,645.4,42.4,75.0,279.5,1948,5.2,35,14,2033.0
263,1043.9,52.8,84.9,1765.7,892,6.3,36,39,2740.7
264,441.9,24.4,44.1,1403.5,1164,7.2,33,33,1662.7
265,962.9,46.6,47.6,1033.6,1634,1.7,34,4,1929.5
266,245.0,4.6,32.6,1428.0,1047,0.4,32,20,1097.6
267,692.6,40.2,94.1,2530.3,2028,5.8,36,17,2719.3
268,139.5,64.4,91.0,1254.6,445,3.8,52,3,1766.7
269,654.6,59.4,100.6,2192.2,2323,4.3,62,17,2768.8
270,682.7,40.9,157.5,1468.6,2172,3.6,37,5,2369.8
271,976.0,53.1,45.0,1773.5,704,4.2,33,9,2103.5
272,827.2,27.4,132.9,1732.7,1774,6.8,61,17,2469.0
273,326.3,75.3,104.8,2145.9,1734,5.9,61,12,2548.8
274,704.7,44.7,144.6,1132.5,1593,2.8,26,33,2402.5
275,873.7,27.7,71.3,2795.6,558,2.7,47,28,2073.7
276,586.5,64.6,135.8,1230.3,299,2.3,34,18,2222.8
277,803.4,40.0,86.4,345.0,439,5.5,62,20,1975.9
278,558.4,31.4,85.5,604.9,449,6.5,64,24,1870.2
279,636.3,43.9,141.1,2813.9,619,2.2,38,40,2336.7
280,1177.8,75.4,117.9,803.2,1951,1.4,45,38,2738.6
281,572.8,68.6,50.7,2237.0,683,2.3,31,5,2041.5
282,620.2,23.9,78.0,1113.8,1350,3.4,25,16,1867.1
283,292.3,9.3,72.1,2423.2,2195,5.3,53,5,1937.3
284,247.2,48.9,107.8,1641.4,838,3.7,52,20,1844.6
285,963.3,69.7,62.3,2740.4,2332,7.1,38,20,2965.8
286,1169.1,33.4,81.6,947.7,2355,0.9,32,22,2374.5
287,613.1,47.4,28.0,626.9,259,1.7,43,35,1560.8
288,694.7,76.5,64.6,178.2,1822,0.3,58,25,2062.6
289,967.6,20.5,145.4,2940.8,180,6.6,28,11,2572.2
290,177.5,77.7,156.9,2853.7,2015,4.6,25,5,2971.2
291,748.5,40.2,129.3,360.5,435,7.4,45,37,2116.8
292,1113.3,72.3,136.8,971.5,637,7.1,33,28,2929.7
293,589.8,64.2,68.5,2670.3,930,1.1,27,29,2219.5
294,180.9,66.3,134.3,1642.5,2356,5.7,44,27,2419.6
295,581.9,26.3,103.9,729.2,1648,6.6,39,29,1981.9
296,692.0,34.8,102.9,1833.6,1608,7.9,63,39,2413.6
297,954.0,37.3,99.8,2659.3,2071,2.1,34,26,2598.5
298,747.9,69.8,36.5,2395.7,565,5.1,40,7,2232.8
299,881.5,67.4,70.0,1882.7,242,5.0,30,13,2228.2
300,124.2,61.5,101.2,2589.5,1160,2.2,63,40,2008.0
301,642.1,29.6,141.5,1260.1,322,4.2,38,35,2168.5
302,360.9,79.9,47.0,774.0,1456,7.1,56,24,2071.1
303,458.7,30.9,40.2,1724.0,433,5.5,48,23,1713.2
304,670.4,18.6,85.3,206.1,1012,4.4,30,30,1689.7
305,416.7,16.9,73.9,2206.5,1014,0.5,61,15,1468.0
306,247.1,66.2,113.8,1161.3,2486,4.2,38,40,2375.3
307,273.3,30.1,43.9,2305.5,310,4.8,28,5,1707.6
308,292.7,35.9,125.3,2532.3,1923,1.5,26,15,2059.0
309,617.4,54.7,135.0,831.6,1498,0.5,49,20,2218.0
310,1035.7,11.7,133.3,1919.1,2476,6.2,53,24,2654.6
311,548.4,75.1,154.2,329.9,2126,7.0,47,40,2609.9
312,503.9,30.3,58.0,578.9,654,4.1,45,32,1645.1
313,812.0,58.3,28.8,362.4,1126,8.0,45,32,2026.6
314,662.8,43.1,26.9,1140.3,666,3.2,60,2,1724.1
315,680.8,68.4,122.6,1224.6,1022,1.1,34,12,2219.1
316,712.9,41.3,126.4,2965.6,1280,3.6,26,10,2581.8
317,343.3,68.2,138.8,321.4,195,7.9,61,13,2086.5
318,390.3,14.0,54.8,2296.6,2307,3.6,50,19,1694.6
319,673.3,79.8,35.6,1518.8,1696,2.0,40,9,2188.7
320,526.9,36.1,110.4,2972.6,820,1.7,44,5,1994.6
321,634.8,18.6,137.5,1340.7,1393,7.4,62,39,2307.7
322,1091.2,55.6,155.9,1114.6,830,4.0,26,15,2682.6
323,954.1,46.3,131.6,1483.4,1245,6.9,43,39,2722.3
324,423.5,28.0,62.4,2332.6,1850,2.9,25,33,1739.1
325,1020.2,45.9,63.2,1058.2,334,5.9,54,40,2096.4
326,561.4,43.3,114.3,582.5,2422,0.4,59,8,2196.5
327,375.8,4.8,82.4,1737.0,1749,4.8,45,37,1873.7
328,370.3,33.5,123.4,1906.4,366,5.9,33,38,1999.5
329,793.9,71.1,137.1,2404.7,1608,4.7,47,4,2654.1
330,897.2,37.1,157.6,313.2,817,5.0,30,26,2357.6
331,1016.6,41.5,19.0,1000.2,302,2.1,35,22,1638.3
332,1173.4,23.0,32.0,2996.5,1928,4.7,32,1,2419.3
333,1133.4,35.6,142.9,1114.3,369,2.5,27,32,2222.1
334,252.5,7.5,58.4,613.0,552,2.0,60,5,949.3
335,268.8,60.6,55.8,590.8,688,3.2,54,39,1447.4
336,1033.6,53.0,127.5,1188.7,1766,1.0,30,26,2468.5
337,1037.2,77.7,129.8,1438.2,2445,7.6,40,33,3325.9
338,123.8,35.1,28.2,395.5,1442,1.0,56,38,1241.5
339,738.7,15.2,24.7,2424.1,2101,1.0,62,36,1854.3
340,668.2,20.6,128.9,1535.2,1788,6.9,48,21,2285.6
341,718.5,24.4,139.0,576.2,801,3.4,28,13,1981.8
342,191.9,50.5,142.3,2290.6,1813,4.7,54,5,2318.3
343,842.8,40.9,94.9,2800.4,1273,1.7,60,11,2370.4
344,143.7,19.0,140.8,932.8,675,1.9,32,6,1399.9
345,487.9,76.5,99.9,948.5,794,2.2,61,20,2185.7
346,236.8,23.6,156.2,1420.1,2057,3.6,64,12,1941.7
347,466.2,4.6,78.0,643.9,1946,4.5,47,18,1572.2
348,100.6,44.3,98.8,1194.5,1753,3.9,28,21,1638.9
349,1155.7,15.1,62.8,1370.8,2091,5.1,62,4,2294.8
350,996.7,31.4,39.2,2851.1,336,0.3,39,11,1873.4
351,748.8,30.5,96.6,1275.1,960,5.5,64,37,2134.1
352,274.7,30.9,102.0,1083.5,213,4.8,45,18,1712.6
353,780.4,74.9,89.3,1854.0,2102,0.8,45,37,2524.7
354,891.8,20.6,143.5,1423.2,2265,0.5,64,16,2383.2
355,650.3,58.9,32.4,2287.5,183,5.0,56,5,2004.2
356,1136.0,8.2,121.9,2771.8,2130,5.2,48,29,2488.5
357,1092.6,75.3,79.2,804.1,419,5.3,47,16,2372.7
358,383.7,67.7,18.4,194.7,895,2.7,38,7,1499.9
359,821.8,44.2,77.1,515.7,119,7.5,43,13,1923.5
360,464.1,19.2,29.1,1785.8,1106,1.2,44,21,1445.4
361,1187.7,56.8,75.3,1593.9,1490,1.2,49,30,2666.4
362,1153.6,51.2,125.0,2012.2,1399,3.2,32,36,2821.9
363,656.8,54.1,129.5,1810.6,1163,5.4,44,28,2359.5
364,937.6,4.6,52.7,1768.1,110,0.8,28,8,1526.5
365,1178.2,31.7,137.6,1623.0,754,7.4,26,34,2662.0
366,340.4,59.6,157.2,1381.5,844,7.7,37,26,2265.1
367,556.8,14.1,36.5,2825.6,2008,5.3,41,21,2118.0
368,294.8,13.5,40.5,1642.1,1542,2.6,28,21,1417.7
369,179.1,60.6,154.7,719.7,1019,6.3,57,14,2229.0
370,511.8,72.1,148.3,1590.1,184,3.6,44,20,2429.7
371,994.4,11.7,158.7,1889.1,2326,5.8,53,10,2769.7
372,165.5,10.0,92.6,327.8,2132,0.9,46,37,1344.4
373,177.9,52.1,107.2,616.7,1970,5.5,36,39,1967.4
374,988.7,26.2,143.2,540.8,1640,1.5,40,37,2315.4
375,273.8,44.8,115.2,1095.4,1471,0.2,27,12,1792.5
376,671.3,28.3,108.4,1904.8,1317,0.6,43,40,2066.0
377,693.8,21.9,67.8,898.3,722,2.2,50,9,1627.3
378,641.2,65.5,55.5,414.3,899,5.8,41,34,2079.1
379,690.1,38.4,114.1,180.0,1327,3.4,40,24,1943.9
380,635.9,27.8,61.1,1043.6,1795,2.3,55,21,1883.0
381,627.3,11.4,84.3,2644.0,1524,5.1,49,25,2038.0
382,985.4,38.5,95.5,2624.3,1537,1.6,35,38,2448.6
383,196.0,50.0,135.0,2327.6,465,7.0,36,1,2242.3
384,962.2,7.6,151.1,1782.7,966,2.6,47,28,2443.0
385,992.8,58.6,42.7,496.5,2430,2.9,34,27,2273.3
386,930.1,9.2,36.5,2582.5,1985,2.3,34,33,1877.0
387,277.2,45.2,38.9,2846.8,1825,2.1,51,29,1739.7
388,238.5,55.8,94.7,2866.2,340,2.7,52,6,1932.2
389,1047.4,50.4,31.3,2608.6,2389,2.7,46,15,2624.4
390,1173.6,18.3,71.9,2343.5,460,8.0,58,16,2259.5
391,324.2,68.4,74.5,1853.5,1239,6.1,32,27,2186.8
392,913.1,60.4,41.0,427.1,2420,6.9,60,37,2387.9
393,1049.0,53.1,35.2,1758.8,333,0.7,26,3,1968.4
394,1024.8,55.2,97.3,2638.0,1536,3.9,65,11,2744.4
395,817.5,74.7,145.1,2473.9,1766,5.0,53,39,3091.3
396,853.2,41.1,104.7,552.2,2136,5.4,37,11,2384.1
397,787.2,22.7,74.2,2725.7,1410,0.7,40,40,2109.4
398,168.9,24.7,26.6,2116.2,1387,3.5,52,35,1439.7
399,158.6,11.3,73.9,722.4,1804,2.9,25,28,1313.4
400,807.6,38.6,69.0,2309.0,2090,7.6,65,12,2564.9
401,1084.5,62.3,134.3,1574.6,1050,6.4,34,34,2744.0
402,759.1,15.8,142.3,388.1,2235,7.0,41,24,2380.4
