delivery_id,distance_km,restaurant_prep_minutes,traffic_index,order_items,couriers_available,pickup_queue_orders,customer_previous_orders,restaurant_age_years,delivery_time_minutes
113,13.0,21.0,38,4,10,3,67,1,57.5
114,10.8,32.0,15,4,12,5,39,15,62.6
115,8.2,10.4,96,3,12,6,75,7,55.8
116,6.4,22.3,6,7,2,10,67,8,57.7
117,1.1,17.8,61,6,2,0,24,17,46.7
118,12.0,30.7,44,6,1,4,32,9,79.2
119,2.2,5.0,8,3,6,2,5,9,22.0
120,4.6,12.7,67,1,4,9,56,14,46.1
121,17.3,21.8,43,7,6,1,39,3,72.6
122,7.1,18.5,54,7,3,9,72,20,63.6
123,6.8,21.0,54,7,2,12,18,5,64.2
124,12.6,7.3,17,6,5,6,13,12,53.5
125,5.2,16.5,75,4,6,12,18,15,67.1
126,6.9,14.4,34,6,4,3,33,1,55.7
127,5.9,31.6,10,4,3,0,56,11,56.0
128,12.7,20.8,84,4,11,12,76,4,74.8
129,1.9,21.0,21,6,6,5,57,2,36.0
130,7.2,16.9,61,7,10,3,76,19,47.1
131,18.0,27.7,72,4,7,8,52,12,96.4
132,11.7,19.3,15,7,12,4,34,6,63.4
133,8.8,20.8,87,5,2,7,55,9,73.4
134,5.6,12.6,16,8,6,1,56,8,39.7
135,0.9,24.5,69,7,3,6,48,4,62.6
136,16.4,24.2,77,6,12,12,10,3,86.9
137,16.6,11.7,83,2,11,4,54,17,67.6
138,17.6,13.4,52,6,9,1,65,17,68.7
139,8.9,20.5,37,5,2,7,4,1,69.6
140,10.9,17.0,7,3,10,11,70,19,56.5
141,5.6,12.5,11,3,7,4,24,11,34.2
142,15.0,19.1,90,2,4,8,25,7,83.8
143,10.7,22.4,52,6,4,2,53,9,68.5
144,5.7,18.1,92,6,7,3,63,17,53.3
145,5.7,15.3,72,1,6,11,68,3,58.2
146,6.7,20.6,63,7,9,9,20,14,60.4
147,12.2,16.8,58,6,8,4,54,15,61.2
148,14.0,16.2,3,7,9,10,76,10,70.2
149,2.3,20.8,18,3,10,4,74,7,33.3
150,16.8,26.8,77,3,12,9,55,20,87.3
151,13.7,26.5,35,4,9,6,73,18,75.3
152,14.6,19.6,14,8,12,1,34,4,65.2
153,4.0,16.6,7,3,2,7,9,11,37.4
154,3.0,18.6,44,6,6,0,7,14,29.2
155,13.3,20.1,44,5,11,5,27,7,65.9
156,16.9,22.6,46,6,7,12,9,12,87.5
157,6.6,17.2,86,1,9,9,10,11,59.7
158,2.2,18.2,83,8,2,4,45,8,57.1
159,6.2,20.4,55,8,3,4,4,15,42.7
160,15.2,12.2,37,8,11,11,60,20,66.4
161,14.9,18.1,39,4,9,3,10,20,59.9
162,4.6,20.0,8,2,5,3,41,1,40.6
163,3.2,23.1,44,7,12,5,60,18,60.0
164,9.2,20.0,22,6,6,7,37,8,55.7
165,6.1,14.7,51,2,7,5,53,7,50.9
166,15.4,10.6,23,7,12,2,51,8,62.3
167,8.6,13.1,66,5,6,0,64,15,52.6
168,4.5,9.5,72,4,2,9,45,11,45.8
169,8.0,10.9,39,6,8,12,36,18,51.8
170,4.4,13.1,11,4,6,3,54,10,37.1
171,12.8,14.3,72,1,4,9,0,17,75.9
172,17.5,21.0,79,7,8,12,67,14,86.1
173,11.1,16.1,43,4,8,0,68,14,44.8
174,4.7,16.5,55,5,6,4,18,10,53.1
175,14.7,18.6,76,5,6,0,69,13,72.4
176,6.9,12.6,36,1,9,11,61,9,48.4
177,2.0,9.7,44,7,6,7,70,3,40.2
178,3.2,13.6,2,3,12,5,76,20,35.2
179,7.0,11.1,5,5,7,3,7,19,41.3
180,15.1,26.8,26,2,3,9,28,13,82.6
181,4.5,26.8,11,3,10,1,45,15,40.4
182,14.2,17.3,96,8,9,1,48,18,67.7
183,1.9,20.0,75,7,5,12,73,3,62.0
184,15.2,27.0,96,6,10,4,54,12,89.4
185,13.0,26.7,31,8,5,7,44,4,75.6
186,2.0,24.4,27,5,1,11,55,20,53.3
187,1.2,22.6,18,6,3,1,75,3,43.3
188,4.9,25.2,81,1,2,8,33,13,66.2
189,3.6,11.4,72,1,1,9,11,12,50.5
190,11.8,5.5,89,5,8,6,29,15,61.4
191,8.7,13.0,23,2,1,11,26,6,55.7
192,10.5,20.7,100,7,2,5,43,17,79.1
193,5.5,12.4,84,7,3,4,37,3,56.6
194,17.6,15.2,100,1,2,9,74,17,84.8
195,2.3,17.9,73,2,6,8,68,2,51.1
196,12.1,17.5,54,5,1,5,43,7,71.6
197,9.8,11.3,83,4,9,7,76,18,60.2
198,17.8,16.6,17,7,5,3,24,10,68.3
199,17.2,23.4,16,5,10,11,69,3,88.5
200,8.9,21.6,89,1,11,0,67,2,62.0
201,8.3,17.9,96,1,5,11,30,11,66.6
202,6.7,16.7,72,8,12,4,8,10,54.5
203,3.5,26.8,41,8,4,5,66,13,59.8
204,12.4,28.0,43,4,10,2,27,2,73.5
205,16.0,11.9,12,8,8,6,38,8,65.2
206,8.8,14.1,30,5,7,0,71,20,48.0
207,16.6,14.8,59,8,10,0,55,1,60.3
208,4.8,21.5,48,6,8,10,77,16,56.1
209,5.2,17.8,17,6,2,0,25,12,43.9
210,17.2,15.9,73,7,8,5,4,11,80.3
211,16.6,27.8,76,3,10,2,21,2,79.3
212,9.5,20.7,53,4,1,4,52,6,65.0
213,10.1,12.8,82,4,7,4,66,1,61.0
214,6.7,18.0,79,1,2,3,14,12,62.1
215,1.0,17.2,78,2,12,10,5,6,39.4
216,7.1,27.0,0,7,8,0,13,12,57.0
217,17.7,6.4,22,2,9,12,72,8,69.9
218,9.4,17.6,80,2,9,8,8,3,71.0
219,14.6,19.0,39,5,4,3,41,3,73.0
220,3.3,25.3,23,5,10,2,13,6,45.6
221,13.3,17.9,79,2,6,0,35,17,65.3
222,10.8,22.5,69,1,10,9,27,19,61.7
223,17.8,22.7,0,4,12,2,65,10,76.2
224,6.0,7.5,60,2,8,4,15,20,35.6
225,8.7,14.4,75,7,2,0,33,10,57.7
226,5.3,14.0,25,7,5,0,49,14,51.0
227,13.4,18.3,31,1,1,2,39,7,65.2
228,1.7,9.8,79,6,10,7,11,2,46.2
229,13.3,20.0,60,5,9,12,72,10,73.9
230,15.1,15.6,63,1,12,2,19,12,57.0
231,4.8,18.9,27,6,9,2,53,2,53.9
232,6.8,5.0,73,6,3,7,6,2,55.7
233,6.5,19.5,10,7,1,0,55,16,50.9
234,15.8,19.2,51,3,7,4,37,13,64.7
235,3.2,9.0,73,1,9,7,16,8,42.0
236,16.5,16.0,9,6,6,11,16,5,79.0
237,2.1,20.7,22,1,9,4,31,10,36.3
238,1.1,29.9,65,8,8,10,24,13,62.8
239,14.7,13.5,37,3,2,8,77,9,72.7
240,1.6,17.7,77,2,12,6,79,19,40.1
241,10.4,12.3,71,1,9,10,31,7,62.0
242,9.6,20.5,83,1,3,11,35,18,70.3
243,16.0,8.9,22,5,5,10,34,17,64.5
244,12.3,13.5,86,3,7,9,6,8,66.6
245,17.7,17.9,33,3,6,9,46,5,85.1
246,12.4,17.2,50,6,9,4,61,19,66.2
247,6.4,14.9,0,3,6,3,18,14,39.0
248,16.9,14.8,92,6,10,4,41,15,78.6
249,1.9,13.0,13,6,7,2,20,19,31.9
250,12.4,22.6,21,4,9,7,50,17,65.5
251,2.4,17.1,3,4,5,7,36,14,40.9
252,3.6,8.9,11,3,1,10,2,7,41.6
253,7.3,20.0,54,2,6,8,6,17,64.9
254,9.2,20.3,75,8,10,2,47,2,67.9
255,1.4,25.1,29,4,6,6,23,17,46.3
256,7.6,27.9,77,7,1,5,80,6,71.8
257,9.9,17.5,3,3,6,3,68,1,43.2
258,5.4,25.9,95,3,10,10,50,10,68.4
259,7.6,19.4,32,6,3,10,43,7,61.9
260,14.1,21.3,72,7,8,5,18,1,75.2
261,3.8,15.0,46,3,4,8,25,11,42.7
262,5.9,17.6,80,7,1,7,30,20,72.6
263,5.3,15.6,56,3,1,7,10,7,51.2
264,4.9,5.6,49,4,3,11,57,12,52.1
265,1.2,15.9,8,4,6,5,78,3,35.5
266,17.2,8.5,20,8,10,0,40,6,60.1
267,9.4,19.4,97,7,2,5,75,8,73.9
268,6.2,5.0,17,1,11,11,80,4,32.0
269,15.9,18.6,25,6,10,8,24,2,73.2
270,0.9,7.3,95,6,10,11,34,20,40.0
271,2.4,12.2,83,6,6,0,27,3,41.3
272,0.8,16.0,33,3,12,2,62,3,29.2
273,1.0,19.9,87,3,8,10,47,17,54.6
274,0.5,11.3,0,4,8,0,50,16,22.3
275,11.1,16.9,24,6,7,4,55,10,58.9
276,13.1,23.7,70,7,1,5,20,4,87.7
277,6.7,16.9,95,6,6,8,50,11,63.9
278,16.7,20.7,43,4,8,3,10,7,75.4
279,13.7,17.3,95,4,8,4,72,10,68.3
280,17.8,24.7,92,6,4,12,28,16,97.9
281,13.9,22.5,97,1,5,2,80,3,63.0
282,9.6,25.1,67,7,5,9,1,10,70.2
283,1.5,17.2,87,8,4,2,38,15,54.1
284,2.6,16.4,83,5,10,12,31,20,50.4
285,6.2,5.0,97,1,2,9,36,13,53.3
286,2.9,10.7,9,2,6,7,68,16,34.8
287,11.7,11.1,81,6,8,9,11,13,70.5
288,1.7,23.0,41,4,7,8,60,13,57.9
289,10.0,14.8,44,5,1,3,17,6,59.7
290,6.9,11.2,66,6,12,10,19,11,51.7
291,7.2,15.9,1,8,3,6,64,12,54.8
292,1.9,13.1,58,1,2,10,65,19,52.7
293,13.1,10.7,22,8,7,6,22,19,64.8
294,13.9,9.9,44,6,1,4,12,14,72.0
295,6.1,23.2,85,3,8,11,7,17,65.9
296,7.1,26.4,78,8,8,3,21,16,60.7
297,12.6,16.7,48,7,2,8,14,17,68.6
298,2.8,19.2,71,1,4,9,75,14,55.1
299,11.3,22.7,20,7,2,7,40,1,74.0
300,6.5,14.8,34,7,8,7,8,6,47.2
301,12.8,19.3,83,1,5,10,30,6,63.9
302,11.6,9.7,8,1,3,3,30,20,45.9
303,6.0,5.3,74,5,10,6,0,11,43.1
304,5.4,12.6,88,3,6,2,60,20,41.8
305,7.4,23.9,41,6,10,6,59,14,59.2
306,5.7,16.6,24,2,11,11,50,6,49.7
307,13.8,9.6,59,7,5,10,35,19,68.8
308,14.3,19.8,88,4,8,0,75,15,71.0
309,9.2,24.6,74,2,3,7,45,18,71.8
310,4.6,11.8,40,2,1,0,11,13,36.0
311,9.1,21.0,64,7,11,12,32,5,72.8
312,13.7,30.5,73,6,9,2,33,6,79.9
313,10.0,15.3,49,7,4,0,23,11,58.3
314,0.8,18.3,77,7,6,5,56,4,51.9
315,2.0,13.2,46,4,7,12,36,2,49.3
316,7.2,8.8,31,4,4,1,39,17,43.8
317,15.2,9.3,46,3,8,10,3,18,70.9
318,8.0,23.3,21,6,5,2,17,15,65.5
319,11.4,20.5,62,4,6,8,71,20,65.0
320,10.4,16.4,80,2,4,4,53,20,69.0
321,1.9,29.6,50,8,4,3,24,17,46.9
322,8.9,15.6,24,5,5,11,41,3,52.8
323,8.1,18.5,30,8,12,3,3,11,53.1
324,8.5,22.5,95,1,10,0,24,17,56.9
325,16.4,13.9,87,2,8,3,55,1,66.8
326,5.7,11.7,39,5,2,4,33,12,45.2
327,17.6,14.6,52,6,4,0,24,12,69.4
328,8.8,11.2,77,6,10,5,59,15,56.7
329,8.9,18.6,98,1,5,6,39,8,67.1
330,13.0,19.1,60,7,12,7,54,5,76.4
331,8.8,14.1,3,4,2,12,61,15,63.9
332,1.5,5.0,64,2,11,9,28,3,34.2
333,10.3,14.2,87,3,8,2,63,14,56.2
334,2.0,9.6,62,5,3,9,35,17,48.7
335,16.8,14.8,94,8,9,4,43,16,82.0
336,5.9,19.4,83,5,12,1,38,14,50.5
337,16.8,26.7,9,5,5,12,75,17,91.6
338,9.6,25.8,20,1,2,4,62,15,63.1
339,14.2,9.6,57,1,3,11,54,15,75.4
340,9.4,18.6,46,5,11,11,38,8,61.1
341,4.2,14.3,23,5,8,4,51,12,35.7
342,17.9,18.9,54,1,11,0,77,12,67.4
343,11.6,28.5,45,7,5,8,72,15,83.0
344,8.4,21.9,48,4,11,2,30,11,61.7
345,17.0,20.4,83,7,3,1,36,3,81.4
346,10.2,15.3,58,3,4,7,59,17,56.9
347,7.6,13.9,87,2,6,5,28,19,58.1
348,4.0,16.2,21,7,11,1,32,10,37.1
349,6.3,21.8,61,7,3,10,80,6,69.4
350,14.7,27.6,58,1,11,10,75,18,72.6
351,3.3,21.7,6,5,10,8,23,13,45.3
352,8.6,17.1,47,3,9,4,26,18,48.3
353,11.7,17.8,82,8,11,4,39,7,63.3
354,8.3,22.8,19,4,6,4,43,11,52.3
355,7.5,28.6,51,4,8,10,67,20,66.5
356,1.1,30.5,60,5,9,9,8,8,57.7
357,14.8,12.6,13,8,12,9,38,3,69.2
358,1.8,9.6,15,6,12,10,43,11,34.9
359,8.1,23.9,20,4,6,7,49,8,54.4
360,2.0,23.4,15,6,11,2,4,13,45.1
361,6.0,24.7,49,1,1,10,15,2,59.2
362,14.2,28.6,55,4,2,0,15,7,74.7
363,16.7,17.1,51,7,5,11,20,8,94.2
364,1.2,23.3,16,2,12,8,70,18,35.7
365,5.8,11.8,95,3,6,6,30,17,58.2
366,12.6,25.9,11,4,11,3,76,7,67.2
367,7.0,17.5,26,3,10,8,80,17,51.1
368,17.8,17.3,88,7,12,10,13,6,96.6
369,3.0,11.4,98,8,12,2,57,19,48.3
370,2.9,26.6,79,8,8,7,0,10,61.8
371,13.2,23.9,11,8,2,0,22,13,66.1
372,12.6,22.1,19,1,3,11,40,6,67.9
373,16.9,10.0,55,1,10,12,60,13,70.8
374,1.8,13.5,97,7,7,4,14,10,45.0
375,0.8,24.6,78,2,10,10,66,9,54.9
376,2.7,17.2,36,3,12,10,76,14,48.6
377,16.6,19.1,7,2,7,7,79,7,63.8
378,8.1,20.1,82,1,2,11,0,13,61.3
379,8.0,15.4,99,5,8,11,16,16,68.1
380,5.2,24.6,53,1,7,3,9,1,50.6
381,3.9,5.8,9,7,3,1,80,20,45.2
382,2.5,27.9,97,6,10,1,42,3,61.4
383,13.7,27.5,93,3,5,6,47,15,80.2
384,1.3,20.8,95,8,8,9,57,1,50.6
385,13.5,22.6,80,4,5,9,41,19,83.0
386,9.3,17.2,99,7,12,7,23,3,58.8
387,3.7,29.1,67,1,12,12,35,13,59.7
388,4.5,14.4,12,7,12,0,55,12,29.1
389,1.3,12.2,48,2,4,10,58,12,41.4
390,15.2,20.6,1,3,7,1,12,11,62.2
391,10.9,14.8,52,2,12,9,79,9,66.6
392,13.4,16.0,40,5,5,10,48,6,70.1
393,9.9,27.9,89,2,9,7,47,17,67.7
394,1.5,5.7,8,3,6,0,44,15,23.1
395,12.9,22.1,9,1,9,6,46,18,59.0
396,16.1,11.4,87,3,11,8,66,1,70.8
397,5.1,18.9,54,8,3,12,76,3,72.3
398,7.3,20.8,4,8,5,2,11,8,57.8
399,17.8,19.8,67,5,7,2,64,4,77.0
400,11.3,8.5,59,7,6,0,13,2,42.9
401,2.8,18.2,34,1,9,7,51,18,36.7
402,3.5,21.5,25,1,7,0,40,12,37.9
403,5.0,29.7,98,7,1,7,6,17,80.1
404,16.7,19.9,68,3,8,7,52,10,73.9
405,14.7,10.6,99,7,7,10,43,17,74.0
406,0.8,13.0,27,3,8,9,50,1,29.5
407,10.3,12.2,47,2,7,0,0,11,44.8
408,4.0,25.7,62,7,5,1,70,19,53.0
409,4.9,22.9,5,7,9,7,18,3,52.4
410,9.7,7.9,68,8,6,7,30,14,61.8
411,3.9,14.5,76,6,4,10,48,5,57.0
412,12.5,26.1,30,6,6,10,72,15,71.4
413,1.2,12.5,97,3,2,1,56,5,41.4
414,1.1,21.2,86,4,4,0,49,8,49.2
415,5.6,15.9,42,4,12,2,25,11,33.5
416,2.1,19.3,37,8,8,10,73,8,52.2
417,15.5,15.0,11,4,3,2,63,4,65.4
418,14.0,9.5,58,2,5,11,80,10,73.8
419,10.3,12.0,70,6,4,6,73,14,63.2
420,13.4,20.6,96,6,6,11,32,10,83.9
421,0.7,26.5,80,4,11,3,30,11,46.0
422,4.7,16.7,9,4,5,9,37,12,41.6
423,9.6,20.6,0,4,1,3,48,13,62.3
424,14.6,21.2,20,7,4,12,75,14,82.2
425,10.8,11.3,24,3,1,7,55,17,62.2
426,6.3,11.8,96,7,12,5,60,13,50.2
427,4.9,21.9,92,4,6,4,46,16,61.7
428,15.5,20.7,82,8,6,6,65,13,76.5
429,10.2,13.0,22,6,10,7,77,14,53.5
430,15.4,6.6,65,4,2,7,30,9,68.9
431,2.3,13.9,22,7,1,0,12,5,40.2
432,14.5,14.1,72,4,4,5,56,19,72.9
433,1.7,20.4,32,7,1,1,77,9,39.7
434,6.6,15.2,16,1,3,12,29,18,54.1
435,7.5,17.0,74,4,8,8,57,4,56.8
436,1.6,23.2,35,3,12,0,17,6,41.5
437,16.8,20.6,98,8,4,4,31,4,91.6
438,7.8,14.9,96,6,10,5,21,16,66.3
439,1.6,24.2,81,6,4,4,50,14,50.2
440,12.6,20.6,58,2,2,6,55,4,74.7
441,6.4,28.1,64,7,11,10,22,13,63.6
442,11.0,13.9,71,7,2,9,68,19,76.3
443,12.2,18.7,5,4,11,8,38,9,62.3
444,17.5,15.3,33,4,5,1,52,16,64.9
445,10.6,10.8,50,1,12,4,79,5,47.1
446,11.7,11.6,69,1,9,7,20,6,58.6
447,17.3,18.8,93,6,5,12,69,6,94.2
448,6.2,21.5,18,5,7,5,42,14,55.2
449,6.3,15.0,72,1,1,6,33,11,57.6
450,13.0,16.7,57,2,9,8,14,14,59.4
451,11.8,25.5,86,6,8,6,40,18,73.3
452,6.3,17.1,11,2,3,0,46,18,42.1
453,16.9,15.2,36,7,11,9,6,3,77.5
454,17.6,23.3,39,5,9,3,34,15,84.8
455,17.9,14.9,14,3,10,0,18,5,57.8
456,12.7,21.3,7,6,5,11,9,8,76.1
457,15.0,15.2,62,4,1,0,50,18,75.7
458,16.3,18.2,48,7,5,3,59,7,73.6
459,11.0,16.2,70,6,1,7,23,4,68.7
460,16.3,14.6,78,6,3,10,13,14,86.0
461,10.1,18.7,1,7,7,11,16,12,62.1
462,6.2,28.7,67,1,1,4,0,4,63.9
463,9.6,22.1,24,3,5,6,26,19,61.0
464,3.3,17.8,73,4,8,7,8,4,61.8
465,17.5,25.8,99,4,7,7,62,20,92.6
466,3.3,6.9,33,8,12,9,42,1,35.0
467,6.3,18.8,76,2,6,10,76,15,57.5
468,2.7,13.4,2,6,1,11,8,7,50.9
469,15.0,10.8,84,8,1,12,12,12,91.7
470,13.5,14.6,35,5,9,5,7,2,61.2
471,15.3,17.0,81,1,8,2,56,6,76.0
472,16.7,11.5,64,3,5,6,73,13,81.5
473,14.2,18.6,62,3,12,9,29,8,74.1
474,11.0,8.2,68,4,11,2,57,3,54.6
475,12.7,21.0,29,5,11,8,4,5,74.8
476,15.4,21.1,18,6,9,12,17,16,82.1
477,3.3,30.1,83,4,3,11,32,1,68.4
478,4.5,21.9,96,8,6,1,43,14,63.0
479,10.6,15.6,15,1,8,7,59,11,49.9
480,8.8,14.6,50,5,12,1,68,12,48.2
481,16.8,20.5,9,7,7,12,3,3,84.0
482,6.3,20.5,43,2,5,3,63,3,53.7
483,1.7,9.5,78,3,11,2,43,17,27.8
484,5.5,7.6,94,1,1,9,8,12,51.8
485,3.6,22.3,10,4,3,11,3,10,63.8
486,7.9,20.3,43,8,5,6,64,19,60.4
487,2.4,10.8,28,3,12,12,69,18,37.0
488,11.4,26.2,97,8,12,3,72,13,80.6
489,7.3,19.4,75,5,8,12,72,13,62.1
490,4.5,15.7,31,4,6,2,1,6,43.3
491,16.0,16.4,42,7,1,2,14,18,68.8
492,17.8,21.0,93,1,10,5,65,13,73.2
493,12.5,17.0,72,5,2,10,63,5,88.5
494,2.4,16.7,54,4,2,10,23,11,56.7
495,9.7,23.1,96,2,2,7,25,4,72.4
496,12.7,11.8,63,8,11,12,7,4,67.6
497,8.7,19.5,6,1,1,4,68,7,64.5
498,3.5,19.6,16,5,3,9,29,10,48.0
499,6.6,24.9,12,3,6,10,39,17,48.7
500,16.2,20.4,19,2,7,5,45,1,58.7
501,1.2,23.2,89,7,8,7,17,5,58.1
502,1.4,23.9,88,3,7,4,44,17,50.0
503,12.7,25.4,27,2,9,9,42,10,78.7
504,15.0,13.7,55,1,4,1,35,15,67.7
505,11.3,16.8,66,4,10,10,47,9,71.4
506,16.3,17.4,41,7,10,1,64,9,64.1
507,9.5,30.0,30,4,5,7,74,20,70.3
508,11.9,25.0,43,1,8,2,37,18,66.1
509,8.1,21.4,53,1,2,8,36,2,66.2
510,14.4,21.9,97,4,1,12,80,15,94.0
511,1.1,18.8,66,2,7,4,3,14,41.6
512,7.4,26.5,14,6,10,4,76,16,54.3
513,6.8,17.6,63,6,1,7,37,14,68.5
514,2.4,23.0,48,1,8,10,57,16,47.8
515,8.9,20.7,35,3,4,2,39,9,61.9
516,13.5,13.3,100,4,5,11,75,15,80.7
517,3.1,25.6,30,2,12,11,40,17,48.5
518,17.9,22.2,71,5,12,3,6,12,74.7
519,4.0,18.9,94,3,7,3,59,19,51.6
520,16.3,12.9,97,1,7,12,36,20,86.0
521,0.8,22.9,92,8,5,9,45,8,62.6
522,9.4,14.8,0,2,5,1,69,17,47.4
523,1.6,11.4,74,7,8,5,65,19,46.4
524,5.6,25.6,24,2,2,9,47,7,59.1
525,14.6,18.2,76,4,5,8,3,2,66.4
526,11.2,20.3,87,2,3,5,76,2,70.2
527,16.1,22.9,67,4,8,3,24,1,71.1
528,9.0,26.8,90,6,8,1,26,14,70.1
529,2.4,12.0,12,7,5,1,69,9,37.5
530,1.8,8.2,10,5,4,12,14,1,39.1
531,9.8,24.8,87,1,8,0,3,1,62.6
532,16.6,16.2,26,6,11,3,69,1,69.2
