apartment_id,area_m2,rooms,distance_center_km,latitude,longitude,building_age_years,photo_count,rent_thousand_kzt
80,56,2,5.1,51.08391,71.40803,8,4,266.1
81,81,3,4.9,51.17248,71.42224,28,18,320.9
82,54,2,2.2,51.11833,71.4031,27,5,291.6
83,71,2,9.1,51.07429,71.5295,26,21,297.2
84,58,1,3.9,51.12813,71.4864,17,19,289.8
85,85,5,8.4,51.12078,71.31048,29,9,337.2
86,97,4,16.0,51.05191,71.236,21,3,328.9
87,68,2,1.9,51.13914,71.40892,26,16,287.8
88,105,3,4.0,51.10095,71.46883,33,17,405.2
89,79,3,1.9,51.12683,71.45836,19,10,357.8
90,77,3,1.0,51.11985,71.4346,13,4,358.5
91,28,1,3.7,51.12101,71.48205,17,6,172.3
92,52,3,10.6,51.19478,71.32159,29,13,238.2
93,70,2,2.4,51.14291,71.45524,1,25,315.7
94,100,5,4.0,51.11205,71.37902,40,19,415.8
95,94,3,12.4,51.07197,71.27649,21,25,350.3
96,74,2,5.3,51.16154,71.37654,5,16,351.6
97,68,2,3.4,51.14084,71.47458,28,20,300.4
98,62,3,2.1,51.11388,71.45007,31,14,265.3
99,73,5,7.0,51.1829,71.37883,35,22,345.5
100,75,4,4.3,51.10071,71.38705,33,7,345.7
